organization,row_count,logo_file,classification,acronym_needed,display_name,aws_logo_url,search_aliases,logo_filename,vertical,org_type,logo_url,org_url
Subway,0,Subway.png,tenant,,Subway,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Subway.png,Sub|Subway,,,,,https://www.subway.com
Boys & Girls Clubs of America,5,Boys_Girls_Clubs_of_America.png,tenant,,Boys & Girls Clubs,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Boys_Girls_Clubs_of_America.png,boys & girls clubs|Boys & Girls Clubs,,,,,https://www.bgca.org
Oracle,15,Oracle.png,owner/occupier,,Oracle,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Oracle.png,Java|MySQL|Oracle|ORCL,,,,,https://www.oracle.com
Dollar Tree,8,Dollar_Tree.png,tenant,,Dollar Tree,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Dollar_Tree.png,DLTR|Dollar Tree|Family Dollar,,,,,https://www.dollartree.com
Piedmont Office Realty Trust,15,Piedmont_Office_Realty_Trust.png,owner/operator,,Piedmont Office Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Piedmont_Office_Realty_Trust.png,PDM|Piedmont|Piedmont Office|piedmont office realty|Piedmont Office Realty,,,,,https://www.piedmontreit.com
Ids Real Estate Group,14,Ids_Real_Estate_Group.png,owner,,IDS Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ids_Real_Estate_Group.png,ids real estate|IDS Real Estate,,,,,https://www.idsrealestate.com
Walter & Samuels,14,Walter_Samuels.png,property manager,,Walter & Samuels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Walter_Samuels.png,,,,,,https://walter-samuels.com
Smart & Final,12,Smart_Final.png,tenant,,Smart & Final,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Smart_Final.png,,,,,,https://www.smartandfinal.com
Rudin Management Co. Inc.,14,Rudin_Management_Co_Inc.png,owner/operator,,Rudin Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rudin_Management_Co_Inc.png,rudin management|Rudin Management,,,,,https://www.rudin.com
Columbia Property Trust,15,Columbia_Property_Trust.png,owner/operator,,Columbia Property Trust,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Columbia_Property_Trust.png,Columbia|Columbia Property|CXP,,,,,https://www.columbia.reit
Carr Properties,10,Carr_Properties.png,owner/operator,,Carr Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Carr_Properties.png,,,,,,https://www.carrprop.com
Hilson Management Corp.,12,Hilson_Management_Corp.png,property manager,,Hilson Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hilson_Management_Corp.png,Hilson Management|hilson management,,,,,https://www.hilsonmanagement.com
Cannon Hill Capital Partners,17,Cannon_Hill_Capital_Partners.png,owner,,Cannon Hill Capital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cannon_Hill_Capital_Partners.png,cannon hill capital|Cannon Hill Capital,,,,,https://cannonhillcap.com
Charles Dunn Real Estate Services,13,Charles_Dunn_Real_Estate_Services.png,owner/operator,,Charles Dunn,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Charles_Dunn_Real_Estate_Services.png,Charles Dunn|charles dunn,,,,,https://www.charlesdunn.com
Hersha Hospitality Trust,17,Hersha_Hospitality_Trust.png,owner/operator,,Hersha Hospitality,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hersha_Hospitality_Trust.png,Hersha Hospitality|hersha hospitality,,,,,https://www.hersha.com
Alhambra Unified School District,14,Alhambra_Unified_School_District.png,owner,,Alhambra Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Alhambra_Unified_School_District.png,alhambra schools|Alhambra Schools|alhambra usd,,,,,https://www.ausd.us
US Bank,9,US_Bank.png,tenant,,US Bank,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/US_Bank.png,US Bancorp|US Bank|USB,,,,,https://www.usbank.com
AMC Theatres,14,AMC_Entertainment_Holdings_Inc_AMC.png,tenant,,AMC Theatres,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/AMC_Entertainment_Holdings_Inc_AMC.png,,,,,,https://www.amctheatres.com
Mount Sinai Health System,9,Mount_Sinai_Health_System.png,tenant,,Mount Sinai,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Mount_Sinai_Health_System.png,Mount Sinai|mount sinai|Mt Sinai|Sinai,,,,,https://www.mountsinai.org
Floor & Decor,14,Floor_Decor.png,tenant,,Floor & Decor,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Floor_Decor.png,,,,,,https://www.flooranddecor.com
Horizon Science Acad-Mckinley Pk,14,Horizon_Science_Acad_Mckinley_Pk.png,owner,,Horizon Science Academy,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Horizon_Science_Acad_Mckinley_Pk.png,horizon science academy|Horizon Science Academy,,,,,https://www.hsamckinley.org
Restaurant Depot,14,Restaurant_Depot.png,tenant,,Restaurant Depot,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Restaurant_Depot.png,,,,,,https://www.restaurantdepot.com
Southern California Edison,14,Southern_California_Edison.png,tenant,,SoCal Edison,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Southern_California_Edison.png,socal edison|SoCal Edison,,,,,https://www.sce.com
Macerich,15,Macerich.png,owner/operator,,Macerich Malls,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Macerich.png,MAC|Macerich|macerich malls|Macerich Malls,,,,,https://www.macerich.com
Jenel Management,9,Jenel_Management.png,property manager,,Jenel Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jenel_Management.png,,,,,,https://www.jenel.net
Summit Hotel Properties,13,Summit_Hotel_Properties.png,owner/operator,,Summit Hotel,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Summit_Hotel_Properties.png,summit hotel|Summit Hotel,,,,,https://www.shpreit.com
"Arden Realty, Inc.",13,Arden_Realty_Inc.png,owner/operator,,Arden Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Arden_Realty_Inc.png,Arden Realty|arden realty,,,,,https://ardengroup.com
Central Unified School District,13,Central_Unified_School_District.png,owner,,Central Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Central_Unified_School_District.png,Central Schools|central schools|central usd,,,,,https://www.centralusd.k12.ca.us
American Realty Advisors,14,American_Realty_Advisors.png,owner/operator,,American Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/American_Realty_Advisors.png,american realty|American Realty,,,,,https://www.aracapital.com
Metropolitan Police Department Of The District Of Columbia (MPD),0,Metropolitan_Police_Department_Of_The_District_Of_Columbia_MPD.png,tenant,,DC Police,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Metropolitan_Police_Department_Of_The_District_Of_Columbia_MPD.png,Capitol|DC|dc police|DC Police|District|DMV|Federal|Metro Police|MPD|The District|Washington|Washington DC|Washington Police|WDC,,,,,https://mpdc.dc.gov
Cogir Senior Living,13,Cogir_Senior_Living.png,tenant,,Cogir Senior Living,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cogir_Senior_Living.png,,,,,,https://cogirusa.com
Park Hill R-5 School District,13,Park_Hill_R_5_School_District.png,owner,,Park Hill Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Park_Hill_R_5_School_District.png,Park Hill Schools|park hill schools,,,,,https://www.parkhill.k12.mo.us
Rainier Valley Leadership Academy,13,Rainier_Valley_Leadership_Academy.png,owner,,Rainier Valley Leadership,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rainier_Valley_Leadership_Academy.png,Rainier Valley Leadership|rainier valley leadership,,,,,https://www.myrvla.org
Healthpeak Properties,12,Healthpeak_Properties.png,owner/operator,,Healthpeak Healthcare,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Healthpeak_Properties.png,Healthcare Properties|Healthpeak|healthpeak healthcare|Healthpeak Healthcare|PEAK,,,,,https://www.healthpeakproperties.com
Savanna Real Estate,14,Savanna_Real_Estate.png,owner/operator,,Savanna Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Savanna_Real_Estate.png,,,,,,https://savannafund.com
Bernstein Real Estate,11,Bernstein_Real_Estate.png,property manager,,Bernstein Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Bernstein_Real_Estate.png,Bernstein|bernstein,,,,,https://www.bernsteinre.com
Vanbarton Group,13,Vanbarton_Group.png,owner,,Vanbarton Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Vanbarton_Group.png,,,,,,https://www.vanbartongroup.com
DivcoWest,12,DivcoWest.png,owner/operator,,DivcoWest Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/DivcoWest.png,DivcoWest Real Estate|divcowest real estate,,,,,https://divcowest.com
KIPP Schools,13,KIPP_Schools.png,owner,,KIPP Charter Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/KIPP_Schools.png,kipp charter schools|KIPP Charter Schools,,,,,https://www.kipp.org
Department Of Cultural Affairs,0,Department_Of_Cultural_Affairs.png,tenant,,NYC Cultural Affairs,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Department_Of_Cultural_Affairs.png,Cultural Affairs|cultural affairs|dca,,,,,https://www.nyc.gov/dcla
DCAS,13,DCAS.png,property manager,,DCAS NYC Admin,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/DCAS.png,dcas nyc admin|DCAS NYC Admin,,,,,https://www.nyc.gov/dcas
SEPHORA,7,SEPHORA.png,tenant,,Sephora,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/SEPHORA.png,,,,,,https://www.sephora.com
City Of Denver,24,City_and_County_of_Denver.png,owner,,Denver City Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_of_Denver.png,5280|DEN|Denver|denver|Mile High|Mile High City,,,,,https://www.denvergov.org
CenturyLink,13,CenturyLink.png,tenant,,CenturyLink,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/CenturyLink.png,CenturyLink|CTL|Level 3|Lumen,,,,,https://www.centurylink.com/
Foot Locker,0,Foot_Locker.png,tenant,,Foot Locker,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Foot_Locker.png,,,,,,https://www.footlocker-inc.com
George Comfort & Sons,12,George_Comfort_Sons.png,property manager,,George Comfort & Sons,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/George_Comfort_Sons.png,George Comfort|george comfort,,,,,https://www.gcomfort.com
Burlington Stores,5,Burlington_Stores.png,tenant,,Burlington,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Burlington_Stores.png,BURL|Burlington|burlington|Burlington Coat Factory,,,,,https://www.burlington.com
Greenlaw Partners,12,Greenlaw_Partners.png,property manager,,Greenlaw Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Greenlaw_Partners.png,,,,,,https://www.greenlawpartners.com
Columbia College Chicago,12,Columbia_College_Chicago.png,owner/occupier,,Columbia Chicago,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Columbia_College_Chicago.png,columbia chicago|Columbia Chicago,,,,,https://www.colum.edu
Goodwill,11,Goodwill.png,tenant,,Goodwill,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Goodwill.png,Goodwill|GW,,,,,https://www.goodwill.org
MetLife,12,MetLife.png,owner/operator,,MetLife,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/MetLife.png,MET|MetLife,,,,,https://www.metlife.com
Bay Club,0,Bay_Club.png,tenant,,Bay Club,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Bay_Club.png,,,,,,https://www.bayclubs.com
Pittsburg Unified School District,12,Pittsburg_Unified_School_District.png,owner,,Pittsburg Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Pittsburg_Unified_School_District.png,pittsburg schools|Pittsburg Schools|pittsburg usd,,,,,https://www.pittsburg.k12.ca.us
Hesperia Unified School District,12,Hesperia_Unified_School_District.png,owner,,Hesperia Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hesperia_Unified_School_District.png,hesperia schools|Hesperia Schools|hesperia usd,,,,,https://www.hesperiausd.org
Oceanside Unified School District,12,Oceanside_Unified_School_District.png,owner,,Oceanside Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Oceanside_Unified_School_District.png,Oceanside Schools|oceanside schools|oceanside usd,,,,,https://www.oside.us
Jack Resnick & Sons,12,Jack_Resnick_Sons.png,owner/operator,,Jack Resnick & Sons,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jack_Resnick_Sons.png,jack resnick|Jack Resnick,,,,,https://resnicknyc.com
Extell Development,11,Extell_Development.png,owner/operator,,Extell Development,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Extell_Development.png,,,,,,https://extell.com
Chipotle Mexican Grill,0,Chipotle_Mexican_Grill.png,tenant,,Chipotle,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Chipotle_Mexican_Grill.png,Chipotle|chipotle|CMG|Mexican Grill,,,,,https://www.chipotle.com
Rite Aid,4,Rite_Aid.png,tenant,,Rite Aid,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rite_Aid.png,RAD|Rite Aid|Rite-Aid,,,,,
Kern High School District,12,Kern_High_School_District.png,owner,,Kern High Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kern_High_School_District.png,kern high schools|Kern High Schools,,,,,https://www.kernhigh.org
Microsoft,7,Microsoft.png,owner/occupier,,Microsoft,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Microsoft.png,Azure|GitHub|LinkedIn|Microsoft|MSFT|Office|Windows,,,,,https://www.microsoft.com
Fortress Investment Group,10,Fortress_Investment_Group.png,owner,,Fortress Investment,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fortress_Investment_Group.png,FIG|Fortress|Fortress Investment|fortress investment,,,,,https://www.fortress.com
Berklee College Of Music,11,Berklee_College_Of_Music.png,owner/occupier,,Berklee College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Berklee_College_Of_Music.png,Back Bay|berklee|Berklee|Berklee Music,,,,,https://www.berklee.edu
G.H. Palmer Associates,11,G_H_Palmer_Associates.png,owner,,GH Palmer,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/G_H_Palmer_Associates.png,GH Palmer|gh palmer,,,,,https://www.ghpalmer.com
Gap INC.,10,Gap_INC.png,tenant,,Gap,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Gap_INC.png,gap|Gap,,,,,https://www.gapinc.com
State Compensation Insurance Fund,0,State_Compensation_Insurance_Fund.png,owner/occupier,,State Comp Insurance,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/State_Compensation_Insurance_Fund.png,state comp insurance|State Comp Insurance,,,,,https://www.statefundca.com
Port Of Seattle,11,Port_Of_Seattle.png,tenant,,Port of Seattle,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Port_Of_Seattle.png,Port of Seattle|Sea-Tac|SeaTac,,,,,https://www.portseattle.org
University Of San Francisco,11,University_Of_San_Francisco.png,owner/occupier,,SF University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/University_Of_San_Francisco.png,Dons|Hilltop|SF|u of san|u of san francisco|usf|USF,,,,,https://www.usfca.edu
Sioni Group,9,Sioni_Group.png,owner,,Sioni Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sioni_Group.png,,,,,,https://sionigroup.com
The Lenkin Company,12,The_Lenkin_Company.png,property manager,,Lenkin Company,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Lenkin_Company.png,lenkin company|Lenkin Company,,,,,https://lenkin.com
Worthe Real Estate,11,Worthe_Real_Estate.png,property manager,,Worthe Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Worthe_Real_Estate.png,,,,,,https://worthe.com
Trader Joe's,0,Trader_Joe_s.png,tenant,,Trader Joe's,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Trader_Joe_s.png,,,,,,https://www.traderjoes.com
Handler Real Estate Services,11,Handler_Real_Estate_Services.png,property manager,,Handler Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Handler_Real_Estate_Services.png,handler real estate|Handler Real Estate,,,,,https://handler-re.com
"Rockhill Management, L.L.C.",10,Rockhill_Management_L_L_C.png,property manager,,Rockhill Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rockhill_Management_L_L_C.png,rockhill|Rockhill,,,,,https://rockhillmanagement.com
RLJ Lodging Trust,11,RLJ_Lodging_Trust.png,owner/operator,,RLJ Lodging,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/RLJ_Lodging_Trust.png,RLJ|rlj lodging|RLJ Lodging,,,,,https://www.rljlodgingtrust.com
L&L Holding,10,L_L_Holding.png,property manager,,L&L Holding,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/L_L_Holding.png,,,,,,https://www.ll-holding.com
National Collegiate Preparatory Pchs,11,National_Collegiate_Preparatory_Pchs.png,owner,,National Collegiate Prep,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/National_Collegiate_Preparatory_Pchs.png,national collegiate prep|National Collegiate Prep,,,,,https://www.ncprep.org
Prospect Health System,11,Prospect_Health_System.png,owner,,Prospect Health,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Prospect_Health_System.png,Prospect Health|prospect health,,,,,https://www.prospectmedical.com
Modesto City Schools,11,Modesto_City_Schools.png,owner,,Modesto Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Modesto_City_Schools.png,Modesto Schools|modesto schools,,,,,https://www.mcs4kids.com
Merrill Gardens,11,Merrill_Gardens.png,tenant,,Merrill Gardens,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Merrill_Gardens.png,,,,,,https://www.merrillgardens.com
IKEA,11,IKEA.png,tenant,,IKEA,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/IKEA.png,,,,,,https://www.ikea.com
Eastgate,11,Eastgate.png,tenant,,Eastgate Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Eastgate.png,,,,,,https://www.eastgate.com
Rexford Industrial,4,Rexford_Industrial.png,owner/operator,,Rexford Industrial,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rexford_Industrial.png,,,,,,https://www.rexfordindustrial.com
Steelwave,11,Steelwave.png,property manager,,Steelwave Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Steelwave.png,steelwave real estate|Steelwave Real Estate,,,,,https://www.steelwavellc.com
William S. Hart Union High School District,10,William_S_Hart_Union_High_School_District.png,owner,,Hart High Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/William_S_Hart_Union_High_School_District.png,Hart High Schools|hart high schools,,,,,https://www.hartdistrict.org
Cohen Brothers,9,Cohen_Brothers.png,owner,,Cohen Brothers,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cohen_Brothers.png,,,,,,https://www.cohenbrothersrealty.com
Petco,8,Petco.png,tenant,,Petco,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Petco.png,,,,,,https://www.petco.com
Mourier Land Investment Corporation,10,Mourier_Land_Investment_Corporation.png,owner,,Mourier Land,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Mourier_Land_Investment_Corporation.png,Mourier Land|mourier land,,,,,https://www.mlic.biz
MRP Realty,11,MRP_Realty.png,property manager,,MRP Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/MRP_Realty.png,,,,,,https://mrprealty.com
Motel 6,10,Motel_6.png,tenant,,Motel 6,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Motel_6.png,,,,,,https://www.motel6.com
Four Seasons,10,Four_Seasons.png,tenant,,Four Seasons,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Four_Seasons.png,,,,,,https://www.fourseasons.com
Meta,8,Meta.png,tenant,,Meta,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Meta.png,Facebook|FB|Instagram|Meta|Oculus|WhatsApp,,,,,https://about.meta.com
KBS Realty,11,KBS_Realty.png,owner/operator,,KBS Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/KBS_Realty.png,KBS Real Estate|kbs real estate,,,,,https://kbs.com
Brause Realty,8,Brause_Realty.png,owner,,Brause Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Brause_Realty.png,,,,,,https://brauserealty.com
Winter Organization,10,Winter_Organization.png,property manager,,Winter Org,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Winter_Organization.png,,,,,,https://www.winter.com
Folsom Cordova Unified School District,10,Folsom_Cordova_Unified_School_District.png,owner,,Folsom Cordova Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Folsom_Cordova_Unified_School_District.png,folsom cordova schools|Folsom Cordova Schools|folsom cordova usd,,,,,https://www.fcusd.org
Stream Realty Partners,11,Stream_Realty_Partners.png,property manager,,Stream Realty Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Stream_Realty_Partners.png,,,,,,https://www.streamrealty.com
Brentwood Union Elementary School District,10,Brentwood_Union_Elementary_School_District.png,owner,,Brentwood Elementary,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Brentwood_Union_Elementary_School_District.png,Brentwood Elementary|brentwood elementary,,,,,https://www.brentwood.k12.ca.us
Elo Realty,10,Elo_Realty.png,owner,,Elo Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Elo_Realty.png,,,,,,https://www.elogrouprealty.com/
Pih Health,10,Pih_Health.png,tenant,,PIH Health,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Pih_Health.png,,,,,,https://www.pihhealth.org
Cedars-Sinai,5,Cedars_Sinai.png,owner/occupier,,Cedars-Sinai,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cedars_Sinai.png,Cedars|Cedars Sinai|Cedars-Sinai,,,,,https://www.cedars-sinai.org
Deka Immobilien Investment,10,Deka_Immobilien_Investment.png,owner/operator,,Deka Immobilien,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Deka_Immobilien_Investment.png,deka immobilien|Deka Immobilien,,,,,https://www.deka-immobilien.de
Rialto Unified School District,10,Rialto_Unified_School_District.png,owner,,Rialto Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rialto_Unified_School_District.png,rialto schools|Rialto Schools|rialto usd,,,,,https://www.rialtousd.org
Kennedy Wilson,9,Kennedy_Wilson.png,owner/operator,,Kennedy Wilson,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kennedy_Wilson.png,,,,,,https://www.kennedywilson.com
Loma Linda University,9,Loma_Linda_University.png,owner/occupier,,Loma Linda,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Loma_Linda_University.png,Adventist|LLU|llu|loma linda|Loma Linda,,,,,https://home.llu.edu
Genentech,9,Genentech.png,owner/occupier,,Genentech,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Genentech.png,,,,,,https://www.gene.com
San Bernardino County,6,San_Bernardino_County.png,owner,,San Bern County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/San_Bernardino_County.png,IE|Inland Empire|san bernardino|San Bernardino|SB County,,,,,https://www.sbcounty.gov
VMware,12,VMware.png,owner/occupier,,VMware,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/VMware.png,Virtualization|VMW|VMware,,,,,https://www.vmware.com
Orange County,3,Orange_County.png,owner,,Orange County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Orange_County.png,Irvine|Newport|OC|orange|Orange|Orange County,,,,,https://www.ocgov.com
Sacramento County,5,Sacramento_County.png,owner,,Sacramento County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sacramento_County.png,sacramento,,,,,https://www.saccounty.gov
City Of Portland,4,City_Of_Portland.png,owner,,Portland City Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_Of_Portland.png,PDX|portland|Portland|Rip City|Rose City|Stumptown,,,,,https://www.portland.gov
Michaels,6,Michaels.png,tenant,,Michaels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Michaels.png,,,,,,https://www.michaels.com
US. Federal Government,9,US_Federal_Government.png,tenant,,US Federal Government,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/US_Federal_Government.png,us federal government|US Federal Government,,,,,https://www.usa.gov
Wentworth Institute Of Technology,10,Wentworth_Institute_Of_Technology.png,owner/occupier,,Wentworth Institute,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Wentworth_Institute_Of_Technology.png,wentworth|Wentworth,,,,,https://wit.edu
J Street Property Services LLC,9,J_Street_Property_Services_LLC.png,property manager,,J Street,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/J_Street_Property_Services_LLC.png,j street property|J Street Property|J Street Companies|J Street,,,,,https://jstreetps.com
Friedman Properties Ltd.,9,Friedman_Properties_Ltd.png,owner,,Friedman Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Friedman_Properties_Ltd.png,friedman properties|Friedman Properties,,,,,https://www.friedmanproperties.com
Health Sciences High District,10,Health_Sciences_High_District.png,owner,,Health Sciences High,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Health_Sciences_High_District.png,health sciences high|Health Sciences High,,,,,https://hshmc.org
San Jacinto Unified School District,10,San_Jacinto_Unified_School_District.png,owner,,San Jacinto Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/San_Jacinto_Unified_School_District.png,San Jacinto Schools|san jacinto schools|san jacinto usd,,,,,https://www.sanjacinto.k12.ca.us
Cook County,5,Cook_County.png,owner,,Cook County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cook_County.png,Chicago|Chicagoland|Cook|cook,,,,,https://www.cookcountyil.gov
Onni Group,9,Onni_Group.png,owner/operator,,Onni Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Onni_Group.png,,,,,,https://onni.com
BJ's Wholesale Club,9,BJ_s_Wholesale_Club.png,tenant,,BJ's Wholesale,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/BJ_s_Wholesale_Club.png,BJ's|bj's,,,,,https://www.bjs.com
Applied Materials,9,Applied_Materials.png,tenant,,Applied Materials,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Applied_Materials.png,,,,,,https://www.appliedmaterials.com
"Lithia Motors, INC.",0,Lithia_Motors_INC.png,owner,,Lithia Motors,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lithia_Motors_INC.png,lithia motors|Lithia Motors,,,,,https://www.lithia.com
Paramount Studios,9,Paramount_Studios.png,owner,,Paramount Studios,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Paramount_Studios.png,,,,,,https://www.paramountstudios.com
