organization,row_count,logo_file,classification,acronym_needed,display_name,aws_logo_url,search_aliases,logo_filename,vertical,org_type,logo_url
Onni Group,9,Onni_Group.png,owner/operator,,Onni Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Onni_Group.png,,,,,
BJ's Wholesale Club,9,BJ_s_Wholesale_Club.png,tenant,,BJ's Wholesale,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/BJ_s_Wholesale_Club.png,BJ's|bj's,,,,
Applied Materials,9,Applied_Materials.png,tenant,,Applied Materials,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Applied_Materials.png,,,,,
"Lithia Motors, INC.",0,Lithia_Motors_INC.png,owner,,Lithia Motors,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lithia_Motors_INC.png,lithia motors|Lithia Motors,,,,
Paramount Studios,9,Paramount_Studios.png,owner,,Paramount Studios,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Paramount_Studios.png,,,,,
Carlton Senior Living,9,Carlton_Senior_Living.png,owner,,Carlton Senior Living,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Carlton_Senior_Living.png,,,,,
Club Quarters,9,Club_Quarters.png,tenant,,Club Quarters,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Club_Quarters.png,,,,,
Fire Department Of The City Of New York (FDNY),0,Fire_Department_Of_The_City_Of_New_York_FDNY.png,tenant,,FDNY,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fire_Department_Of_The_City_Of_New_York_FDNY.png,Big Apple|FDNY|fdny|Gotham|Manhattan|New York|New York City|NY|NY City|NYC|The City,,,,
Northwestern University,6,Northwestern_University.png,owner/occupier,,Northwestern University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Northwestern_University.png,Evanston|northwestern|Northwestern|nu|NU|Wildcats,,,,
Dublin Unified School District,9,Dublin_Unified_School_District.png,owner,,Dublin Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Dublin_Unified_School_District.png,Dublin Schools|dublin schools|dublin usd,,,,
Yeshiva University,9,Yeshiva_University.png,owner/occupier,,Yeshiva University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Yeshiva_University.png,yu,,,,
Triumph Hotels,9,Triumph_Hotels.png,tenant,,Triumph Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Triumph_Hotels.png,,,,,
Invesco,10,Invesco.png,owner/operator,,Invesco Investment,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Invesco.png,invesco investment|Invesco Investment,,,,
University Of Portland,9,University_Of_Portland.png,owner,,U of Portland,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/University_Of_Portland.png,Pilots|Portland|U of Portland|u of portland|up|UP,,,,
Emblem Health,9,Emblem_Health.png,tenant,,EmblemHealth,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Emblem_Health.png,emblemhealth|EmblemHealth,,,,
Kg Investment Properties,9,Kg_Investment_Properties.png,property manager,,KG Investment Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kg_Investment_Properties.png,,,,,
Cornell University,4,Cornell_University.png,tenant,,Cornell University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cornell_University.png,Big Red|cornell|Cornell|cu|Ithaca,,,,
Davis Joint Unified School District,9,Davis_Joint_Unified_School_District.png,owner,,Davis Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Davis_Joint_Unified_School_District.png,davis joint schools|davis joint usd|Davis Schools|davis schools,,,,
Chetrit Group,10,Chetrit_Group.png,owner,,Chetrit Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Chetrit_Group.png,,,,,
Garden Grove Unified School District,9,Garden_Grove_Unified_School_District.png,owner,,Garden Grove Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Garden_Grove_Unified_School_District.png,garden grove schools|Garden Grove Schools|garden grove usd,,,,
Whole Foods,8,Whole_Foods.png,,,Whole Foods,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Whole_Foods.png,,,,,
Planet Fitness,0,Planet_Fitness.png,tenant,,Planet Fitness,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Planet_Fitness.png,,,,,
Living Spaces,8,Living_Spaces.png,tenant,,Living Spaces,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Living_Spaces.png,,,,,
Valencia College,9,Valencia_College.png,owner,,Valencia College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Valencia_College.png,,,,,
Seattle Central College,9,Seattle_Central_College.png,owner,,Seattle Central,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Seattle_Central_College.png,seattle central|Seattle Central,,,,
CommonWealth Partners,11,CommonWealth_Partners.png,owner,,CommonWealth Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/CommonWealth_Partners.png,commonwealth|CommonWealth,,,,
City Of Atlanta,5,City_Of_Atlanta.png,owner,,Atlanta City Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_Of_Atlanta.png,A-Town|ATL|atlanta|Atlanta|Hotlanta|The A,,,,
Sonesta International Hotels,44,Sonesta_International_Hotels.png,tenant,,Sonesta Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sonesta_International_Hotels.png,Sonesta|Sonesta Hotels|sonesta hotels,,,,
PNC Bank,4,PNC_Bank.png,tenant,,PNC Bank,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/PNC_Bank.png,,,,,
Kew Mgmt,7,Kew_Mgmt.png,,,Kew Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kew_Mgmt.png,,,,,
Trinity Church,12,Trinity_Church.png,owner,,Trinity Church,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Trinity_Church.png,,,,,
Petsmart,0,Petsmart.png,tenant,,PetSmart,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Petsmart.png,,,,,
Simmons University,9,Simmons_University.png,owner/occupier,,Simmons University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Simmons_University.png,Simmons|simmons|su,,,,
Synergy Investments,8,Synergy_Investments.png,property manager,,Synergy Investments,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Synergy_Investments.png,,,,,
Brickman,8,Brickman.png,owner,,Brickman Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Brickman.png,brickman real estate|Brickman Real Estate,,,,
Northwood Investors,8,Northwood_Investors.png,owner/operator,,Northwood Investors,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Northwood_Investors.png,,,,,
Adobe,8,Adobe.png,owner/occupier,,Adobe,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Adobe.png,ADBE|Adobe|Creative Cloud|Photoshop,,,,
Kings County,4,Kings_County.png,owner,,Kings County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kings_County.png,kings,,,,
Lsl Advisors,10,Lsl_Advisors.png,property manager,,LSL Advisors,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lsl_Advisors.png,,,,,
American National Red Cross,7,American_National_Red_Cross.png,owner,,American Red Cross,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/American_National_Red_Cross.png,american red cross|American Red Cross,,,,
Savitt Partners,9,Savitt_Partners.png,property manager,,Savitt Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Savitt_Partners.png,,,,,
EPR Properties,8,EPR_Properties.png,owner/operator,,EPR Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/EPR_Properties.png,,,,,
Stockton Unified School District,8,Stockton_Unified_School_District.png,owner,,Stockton Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Stockton_Unified_School_District.png,stockton schools|Stockton Schools|stockton usd,,,,
Hospital For Special Surgery,6,Hospital_For_Special_Surgery.png,tenant,,Hospital Special Surgery,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hospital_For_Special_Surgery.png,hospital special surgery|Hospital Special Surgery,,,,
King-Chavez Academy Of Excellence District,8,King_Chavez_Academy_Of_Excellence_District.png,owner,,King-Chavez Academy,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/King_Chavez_Academy_Of_Excellence_District.png,king-chavez academy|King-Chavez Academy,,,,
Santee School District,8,Santee_School_District.png,owner,,Santee Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Santee_School_District.png,Santee Schools|santee schools,,,,
Abramson Brothers,11,Abramson_Brothers.png,property manager,,Abramson Brothers,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Abramson_Brothers.png,,,,,
Oxford Preparatory Academy,8,Oxford_Preparatory_Academy.png,owner,,Oxford Prep,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Oxford_Preparatory_Academy.png,Oxford Prep|oxford prep,,,,
Montefiore Medical Center,8,Montefiore_Medical_Center.png,owner/occupier,,Montefiore Hospital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Montefiore_Medical_Center.png,Montefiore Hospital|montefiore hospital,,,,
Rockwood Capital,8,Rockwood_Capital.png,owner/operator,,Rockwood Capital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rockwood_Capital.png,,,,,
Keiller Leadership Academy District,8,Keiller_Leadership_Academy_District.png,owner,,Keiller Academy,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Keiller_Leadership_Academy_District.png,keiller academy|Keiller Academy,,,,
Industrious,0,Industrious.png,tenant,,Industrious Coworking,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Industrious.png,Industrious Coworking|industrious coworking,,,,
Greenfield Union School District,8,Greenfield_Union_School_District.png,owner,,Greenfield Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Greenfield_Union_School_District.png,Greenfield Schools|greenfield schools,,,,
Uci Health,8,Uci_Health.png,owner,,UCI Health,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Uci_Health.png,,,,,
Mehra Properties Inc.,6,Mehra_Properties_Inc.png,property manager,,Mehra Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Mehra_Properties_Inc.png,Mehra Properties|mehra properties,,,,
Kern County,7,Kern_County.png,owner,,Kern County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kern_County.png,kern,,,,
United Talmudical Academy (New York),9,United_Talmudical_Academy_New_York.png,tenant,,United Talmudical,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/United_Talmudical_Academy_New_York.png,United Talmudical|united talmudical,,,,
Accor,8,Accor.png,tenant,,Accor Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Accor.png,accor hotels|Accor Hotels,,,,
Health Sciences Middle District,8,Health_Sciences_Middle_District.png,owner,,Health Sciences Middle,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Health_Sciences_Middle_District.png,Health Sciences Middle|health sciences middle,,,,
Braemar Hotels & Resorts,8,Braemar_Hotels_Resorts.png,owner/operator,,Braemar Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Braemar_Hotels_Resorts.png,braemar hotels|Braemar Hotels,,,,
Friendship Public Charter School (Washington),8,Friendship_Public_Charter_School_Washington.png,tenant,,Friendship Charter,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Friendship_Public_Charter_School_Washington.png,Friendship Charter|friendship charter,,,,
Triangle Assets,8,Triangle_Assets.png,property manager,,Triangle Assets,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Triangle_Assets.png,,,,,
Raley's,7,Raley_s.png,tenant,,Raley's,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Raley_s.png,,,,,
Gelb Enterprises,7,Gelb_Enterprises.png,owner,,Gelb Enterprises,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Gelb_Enterprises.png,,,,,
TA Realty,13,TA_Realty.png,owner/operator,,TA Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/TA_Realty.png,,,,,
Loews Hotels,9,Loews_Hotels.png,tenant,,Loews Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Loews_Hotels.png,,,,,
ATCO,6,ATCO.png,,,ATCO Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/ATCO.png,,,,,
7-Eleven,0,7_Eleven.png,tenant,,7-Eleven,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/7_Eleven.png,,,,,
Pratt Institute,8,Pratt_Institute.png,owner/occupier,,Pratt Institute,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Pratt_Institute.png,,,,,
Multnomah County,7,Multnomah_County.png,owner,,Multnomah County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Multnomah_County.png,multnomah,,,,
"S.C. Herman & Associates, Inc.",4,S.C._Herman_Associates_Inc.png,,,S.C. Herman & Assoc,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/S.C._Herman_Associates_Inc.png,s.c. herman & associates|S.C. Herman & Associates,,,,
Lee & Associates,9,Lee_Associates.png,property manager,,Lee & Assoc,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lee_Associates.png,,,,,
California Education Authority,8,California_Education_Authority.png,owner,,CA Education Authority,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/California_Education_Authority.png,CA Education Authority|ca education authority,,,,
La Fitness,0,La_Fitness.png,tenant,,LA Fitness,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/La_Fitness.png,,,,,
Warner Bros,8,Warner_Bros.png,tenant,,Warner Bros,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Warner_Bros.png,,,,,
Joseph P. Day,7,Joseph_P_Day.png,owner,,Joseph P. Day,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Joseph_P_Day.png,,,,,
The Muller Company,8,The_Muller_Company.png,owner,,Muller Company,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Muller_Company.png,Muller Company|muller company,,,,
Blake Real Estate INC,9,Blake_Real_Estate_INC.png,owner,,Blake Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Blake_Real_Estate_INC.png,Blake Real Estate|blake real estate,,,,
Omni Hotel,8,Omni_Hotel.png,tenant,,Omni Hotel,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Omni_Hotel.png,,,,,
Madera Unified School District,8,Madera_Unified_School_District.png,owner,,Madera Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Madera_Unified_School_District.png,madera schools|Madera Schools|madera usd,,,,
Urban Outfitters,6,Urban_Outfitters.png,tenant,,Urban Outfitters,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Urban_Outfitters.png,,,,,
BentallGreenOak (BGO),11,BentallGreenOak_BGO.png,owner/operator,,BentallGreenOak,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/BentallGreenOak_BGO.png,BentallGreenOak|bentallgreenoak|BGO,,,,
Gaw Capital Partners,8,Gaw_Capital_Partners.png,owner,,Gaw Capital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Gaw_Capital_Partners.png,gaw capital|Gaw Capital,,,,
Taco Bell,0,Taco_Bell.png,tenant,,Taco Bell,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Taco_Bell.png,,,,,
24 Hour Fitness,0,24_Hour_Fitness.png,tenant,,24 Hour Fitness,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/24_Hour_Fitness.png,,,,,
Santa Clara County,3,Santa_Clara_County.png,owner,,Santa Clara County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Santa_Clara_County.png,Santa Clara|santa clara|Silicon Valley|South Bay,,,,
Citigroup,4,Citigroup.png,tenant,,Citigroup,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Citigroup.png,Citi|Citibank|Citigroup,,,,
Dc Public Library,7,Dc_Public_Library.png,owner/occupier,,DC Public Library,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Dc_Public_Library.png,,,,,
Santa Monica-Malibu Unified School District,7,Santa_Monica_Malibu_Unified_School_District.png,owner,,Santa Monica Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Santa_Monica_Malibu_Unified_School_District.png,Santa Monica Schools|santa monica schools|santa monica-malibu schools|santa monica-malibu usd,,,,
Urban Renaissance Group,7,Urban_Renaissance_Group.png,owner,,Urban Renaissance Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Urban_Renaissance_Group.png,,,,,
The New School,7,The_New_School.png,owner,,New School,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_New_School.png,Eugene Lang|New School|new school|Parsons,,,,
Thomas Jefferson University,6,Thomas_Jefferson_University.png,owner,,Thomas Jefferson,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Thomas_Jefferson_University.png,thomas jefferson|Thomas Jefferson|tju,,,,
Netflix,6,Netflix.png,tenant,,Netflix,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Netflix.png,,,,,
Citizenm,7,Citizenm.png,tenant,,citizenM,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Citizenm.png,,,,,
Covina Valley Unified School District,7,Covina_Valley_Unified_School_District.png,owner,,Covina Valley Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Covina_Valley_Unified_School_District.png,covina valley schools|Covina Valley Schools|covina valley usd,,,,
Stawski Partners,7,Stawski_Partners.png,property manager,,Stawski Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Stawski_Partners.png,,,,,
Westside Union Elementary School District,7,Westside_Union_Elementary_School_District.png,owner,,Westside Elementary,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Westside_Union_Elementary_School_District.png,westside elementary|Westside Elementary,,,,
3D Investments,6,3D_Investments.png,owner,,3D Investments,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/3D_Investments.png,,,,,
Stellar Management,8,Stellar_Management.png,owner,,Stellar Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Stellar_Management.png,,,,,
Justin Management,10,Justin_Management.png,property manager,,Justin Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Justin_Management.png,,,,,
Crale Realty,7,Crale_Realty.png,property manager,,Crale Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Crale_Realty.png,,,,,
Ashley HomeStore,5,Ashley_HomeStore.png,tenant,,Ashley HomeStore,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ashley_HomeStore.png,,,,,
Betty Shabazz Internl Chrtr Sch,7,Betty_Shabazz_Internl_Chrtr_Sch.png,owner,,Betty Shabazz Charter,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Betty_Shabazz_Internl_Chrtr_Sch.png,betty shabazz charter|Betty Shabazz Charter,,,,
High Tech Elementary Mesa District,7,High_Tech_Elementary_Mesa_District.png,owner,,High Tech Elementary,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/High_Tech_Elementary_Mesa_District.png,High Tech Elementary|high tech elementary,,,,
Brixmor Property Group,0,Brixmor_Property_Group.png,owner/operator,,Brixmor Property Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Brixmor_Property_Group.png,,,,,
Conservice,0,Conservice.png,owner,,Conservice Utilities,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Conservice.png,Conservice Utilities|conservice utilities,,,,
Department Of Health & Mental Hygiene,0,Department_Of_Health_Mental_Hygiene.png,tenant,,NYC Health Dept,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Department_Of_Health_Mental_Hygiene.png,dhmh|health & mental hygiene|Health & Mental Hygiene,,,,
South Seattle College,7,South_Seattle_College.png,owner,,South Seattle,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/South_Seattle_College.png,south seattle|South Seattle,,,,
Aegis Living,7,Aegis_Living.png,tenant,,Aegis Senior Living,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Aegis_Living.png,Aegis Senior Living|aegis senior living,,,,
Mountain View Elementary School District,7,Mountain_View_Elementary_School_District.png,owner,,Mountain View Elementary,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Mountain_View_Elementary_School_District.png,mountain view elementary|Mountain View Elementary,,,,
Sage Realty,6,Sage_Realty.png,property manager,,Sage Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sage_Realty.png,,,,,
The Eric Ryan Corporation,7,The_Eric_Ryan_Corporation.png,owner,,Eric Ryan Corp,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Eric_Ryan_Corporation.png,eric ryan corporation|Eric Ryan Corporation,,,,
Jay Suites,3,Jay_Suites.png,tenant,,Jay Suites,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jay_Suites.png,,,,,
Knotel,7,Knotel.png,,,Knotel Offices,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Knotel.png,,,,,
H&M,4,H_M.png,tenant,,H&M,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/H_M.png,,,,,
Northern Trust,7,Northern_Trust.png,tenant,,Northern Trust,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Northern_Trust.png,,,,,
Consolidated Edison,7,Consolidated_Edison.png,owner,,Con Edison,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Consolidated_Edison.png,Con Edison|con edison,,,,
Rebel Hospitality,7,Rebel_Hospitality.png,tenant,,Rebel Hospitality,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rebel_Hospitality.png,,,,,
"Empire Leasing, Inc.",9,Empire_Leasing_Inc.png,property manager,,Empire Leasing,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Empire_Leasing_Inc.png,empire leasing|Empire Leasing,,,,
Los Angeles Fire Department (LAFD),0,Los_Angeles_Fire_Department_LAFD.png,tenant,,LA Fire Department,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Los_Angeles_Fire_Department_LAFD.png,LA Fire|la fire department|LA Fire Department|LAFD|Los Angeles Fire,,,,
Santa Rosa City Schools,7,Santa_Rosa_City_Schools.png,owner,,Santa Rosa Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Santa_Rosa_City_Schools.png,santa rosa schools|Santa Rosa Schools,,,,
Pfizer,0,Pfizer.png,tenant,,Pfizer,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Pfizer.png,,,,,
Ace Hotels,7,Ace_Hotels.png,tenant,,Ace Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ace_Hotels.png,,,,,
Shubert Theatre,7,Shubert_Theatre.png,owner,,Shubert Theatre,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Shubert_Theatre.png,,,,,
Rockrose Development,9,Rockrose_Development.png,owner/operator,,Rockrose Development,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rockrose_Development.png,,,,,
EQ Office,7,EQ_Office.png,owner/operator,,EQ Office,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/EQ_Office.png,,,,,
American Assets Trust,6,American_Assets_Trust.png,owner/operator,,American Assets Trust,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/American_Assets_Trust.png,,,,,
Watermark Retirement Communities,3,Watermark_Retirement_Communities.png,tenant,,Watermark Retirement,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Watermark_Retirement_Communities.png,watermark|Watermark,,,,
Options For Youth-Acton District,7,Options_For_Youth_Acton_District.png,owner,,Options for Youth,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Options_For_Youth_Acton_District.png,options for youth|Options for Youth,,,,
Rising Realty Partners,7,Rising_Realty_Partners.png,owner/operator,,Rising Realty Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rising_Realty_Partners.png,,,,,
Waterman Properties,7,Waterman_Properties.png,property manager,,Waterman Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Waterman_Properties.png,,,,,
Service Properties Trust,7,Service_Properties_Trust.png,owner/operator,,Service Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Service_Properties_Trust.png,service properties|Service Properties,,,,
Virginia Mason,6,Virginia_Mason.png,tenant,,Virginia Mason Medical,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Virginia_Mason.png,virginia mason medical|Virginia Mason Medical,,,,
Human Resources Administration,7,Human_Resources_Administration.png,tenant,,NYC Human Resources Admin,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Human_Resources_Administration.png,NYC Human Resources|nyc human resources,,,,
Morgan Stanley,4,Morgan_Stanley.png,owner,,Morgan Stanley,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Morgan_Stanley.png,Morgan Stanley|MS,,,,
KEW Management Group,0,KEW_Management_Group.png,owner,,KEW Mgmt Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/KEW_Management_Group.png,,,,,
Rockpoint Group,6,Rockpoint_Group.png,owner/operator,,Rockpoint Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rockpoint_Group.png,,,,,
PSP Investments,7,PSP_Investments.png,owner,,PSP Investments,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/PSP_Investments.png,,,,,
Fidelity Investments,6,Fidelity_Investments.png,tenant,,Fidelity,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fidelity_Investments.png,Fidelity|fidelity,,,,
Memorialcare Health System,7,Memorialcare_Health_System.png,tenant,,MemorialCare,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Memorialcare_Health_System.png,MemorialCare|memorialcare,,,,
John Hancock,7,John_Hancock.png,owner,,John Hancock,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/John_Hancock.png,,,,,
Community Montessori District,7,Community_Montessori_District.png,owner,,Community Montessori,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Community_Montessori_District.png,Community Montessori|community montessori,,,,
Clarion Partners,6,Clarion_Partners.png,owner/operator,,Clarion Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Clarion_Partners.png,,,,,
Emerson College,7,Emerson_College.png,owner/occupier,,Emerson College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Emerson_College.png,Emerson|emerson|Lions|Theater District,,,,
Emmanuel College,7,Emmanuel_College.png,owner/occupier,,Emmanuel,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Emmanuel_College.png,emmanuel|Emmanuel,,,,
New Seasons Market,7,New_Seasons_Market.png,tenant,,New Seasons Market,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/New_Seasons_Market.png,,,,,
Tufts University,7,Tufts_University.png,owner/occupier,,Tufts University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Tufts_University.png,Jumbos|Medford|tu|Tufts|tufts,,,,
