SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,BEYOND BENCHMARKING COMPLIANCE YEAR,BEYOND BENCHMARKING COMPLIANCE STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0411-0-00,2095 otoole ave,san jose,CA,95131,23702075,1978,manufacturing/industrial plant,24600,25620.0,2024,in compliance,,,,78.5,209.7,78.0,206.3,533891.1,1770.0,129.2,9.4,138.6,,470.1,,,,,,,,,,,470.1,18.35,
0412-0-00,2245 paragon dr,san jose,CA,95131,23702079,1994,performing arts,24000,2400.0,2024,in compliance,,,,145.5,237.4,164.5,257.3,34014.2,2786.4,8.2,14.8,23.0,17.2,,,,,,,,,,,,17.2,7.18,
0413-0-00,2250 paragon dr,san jose,CA,95131,23702081,1978,other,22564,22050.0,2024,in compliance,2024.0,not submitted,,10.9,28.7,11.0,28.8,63741.9,248.2,15.4,1.3,16.7,,,,,30.2,,,,,,,,30.2,1.37,
0415-0-00,2033 otoole ave,san jose,CA,95131,23702084,1980,non-refrigerated warehouse,164250,164089.0,2024,in compliance,,,,63.7,162.0,64.8,161.9,2580257.0,18308.9,624.5,97.2,721.7,1776.0,,,,,,,,,,,,1776.0,10.82,
0419-0-00,1355 ridder park dr,san jose,CA,95131,23703036,1984,other - education,34592,32000.0,2024,in compliance,,,,33.3,46.7,35.6,49.2,166550.2,5719.1,15.9,30.4,46.3,,40.2,,,,555.1,,,,,,,595.3,18.6,
0420-0-00,1797 fox dr,san jose,CA,95131,23703049,1990,office,49782,50972.0,2024,in compliance,,,79.0,38.8,95.6,40.3,97.2,468653.8,4539.7,113.4,24.1,137.5,,882.5,,,,,,,,,,,882.5,17.31,
0421-0-00,880 fox ln,san jose,CA,95131,23703057,1990,office,85891,90374.0,2024,in compliance,,,1.0,267.0,714.6,267.0,714.6,6572125.0,17063.5,1590.6,90.6,1681.3,,6310.4,,,,,,,,,,,6310.4,69.83,
0422-0-00,1330 ridder park dr,san jose,CA,95131,23703059,1984,office,51959,33500.0,2024,in compliance,,,99.0,14.2,33.3,14.2,33.3,103413.6,1214.5,25.0,6.5,31.5,174.8,,,,,,,,,,,,174.8,5.22,
0422-1-00,1799 oakland rd,san jose,CA,95131,23703064,2022,self-storage facility,53216,53087.0,2024,in compliance,,,,7.3,19.3,7.4,19.4,103687.0,375.0,25.1,2.0,27.1,315.0,,,,,,,,,,,,315.0,5.93,
0423-0-00,1001 ridder park dr,san jose,CA,95131,23703068,2014,office,124592,125000.0,2024,in compliance,,,77.0,50.0,115.5,49.3,113.3,1289763.0,17564.2,312.2,93.3,405.5,3288.3,,,,,,,,,,,,3288.3,26.31,
0424-0-00,1310 ridder park dr,san jose,CA,95131,23703071,2001,office,215225,275659.0,2024,in compliance,,,2.0,209.3,524.8,210.8,526.3,14081640.0,100571.0,3408.2,534.2,3942.4,4307.9,,,,,,,,,,,,4307.9,15.63,
0425-0-00,1321 ridder park dr,san jose,CA,95131,23703075,1984,office,35230,36030.0,2024,in compliance,,,38.0,46.2,106.5,48.1,108.5,350092.3,5376.0,84.7,28.6,113.3,2173.2,,,,,,,,,,,,2173.2,60.32,
0426-0-00,1730 fox dr,san jose,CA,95131,23703076,1989,office,79508,77483.0,2024,in compliance,,,,346.8,946.0,345.7,939.9,7487575.0,12349.1,1812.2,65.6,1877.8,,4565.4,,,,,,,,,,,4565.4,58.92,
0427-0-00,1781 fox dr,san jose,CA,95131,23703077,1990,office,25695,26381.0,2024,in compliance,,,72.0,44.7,99.4,46.7,100.6,227733.1,4555.5,55.1,24.2,79.3,,932.3,,,,,,,,,,,932.3,35.34,
0428-0-00,1745 fox dr,san jose,CA,95131,23703078,1984,office,64983,65000.0,2024,in compliance,,,100.0,10.0,27.9,10.0,27.9,190152.9,0.0,46.0,0.0,46.0,36.9,,,,,,,,,,,,36.9,0.57,
0429-0-00,1733 fox dr,san jose,CA,95131,23703079,2014,office,50900,49024.0,2024,in compliance,,,1.0,615.4,1688.6,615.4,1688.6,8558639.0,9694.0,2071.4,51.5,2122.9,2145.3,,,,,,,,,,,,2145.3,43.76,
0437-0-00,1560 berger dr,san jose,CA,95112,23704071,1987,mixed use property,37805,75610.0,2024,in compliance,2024.0,compliant,,7.9,13.6,8.5,14.2,66865.7,4137.0,15.14,21.97,37.11,168.4,,,,,,,,,,,,168.4,2.23,
0438-0-00,725 ridder park dr,san jose,CA,95131,23705055,2009,retail store,25004,25010.0,2024,in compliance,,,41.0,62.9,149.8,64.1,149.5,344244.4,4290.4,83.3,22.8,106.1,,311.0,,,,,,,,,,,311.0,12.43,
0439-0-00,775 ridder park dr,san jose,CA,95131,23705061,2008,wholesale club/supercenter,138140,138140.0,2024,in compliance,,,86.0,43.6,108.2,46.5,110.3,1424005.0,15582.0,344.7,82.8,427.4,620.1,,4946.4,,,,,,,,,,5566.5,40.3,
0444-0-00,702 e gish rd,san jose,CA,95112,23706067,1972,distribution center,20518,20518.0,2024,in compliance,,,44.0,13.6,30.0,14.4,30.6,53186.4,1142.6,12.9,6.1,18.9,,177.3,,,,,,,,,,,177.3,8.64,
0459-0-00,1920 zanker rd,san jose,CA,95112,23709104,1984,office,28712,30165.0,2024,in compliance,,,26.0,59.9,162.1,59.5,159.9,492333.9,1141.0,119.2,6.1,125.2,,,,,,,,,,,,,392.8,13.02,
0460-0-00,1940 zanker rd,san jose,CA,95112,23709105,1984,office,30018,30018.0,2024,in compliance,,,2.0,104.5,285.6,103.6,282.8,874438.9,1275.9,211.6,6.8,218.4,,444.8,,,,,,,,,,,444.8,14.82,
0461-0-00,1960 zanker rd,san jose,CA,95112,23709106,1984,office,30836,33262.0,2024,in compliance,,,55.0,51.9,109.3,51.9,109.3,305402.4,6847.7,73.9,36.4,110.3,,334.8,,,,,,,,,,,334.8,10.07,
0462-0-00,1982 zanker rd,san jose,CA,95112,23709107,1984,office,30836,32709.0,2024,in compliance,,,61.0,63.5,158.1,64.2,157.2,491650.5,4231.6,119.0,22.5,141.5,129.9,,411.3,,,,,,,,,,541.2,16.55,
0479-0-00,2216 otoole ave,san jose,CA,95131,23710238,1984,manufacturing/industrial plant,51377,50574.0,2024,in compliance,,,,9.4,23.9,9.7,24.0,117096.7,929.2,28.3,4.9,33.3,,1021.5,,,,,,,,,,,1021.5,20.2,
0480-0-00,2210 otoole ave,san jose,CA,95131,23710239,1976,office,53594,53524.0,2024,in compliance,,,93.0,27.5,66.7,28.2,66.6,331396.1,3774.5,80.2,20.0,100.3,,171.5,,,,,,,,,,,171.5,3.2,
0482-0-00,1060 rincon cir,san jose,CA,95131,23710253,1984,office,62053,62053.0,2024,in compliance,2024.0,compliant,,73.5,174.2,74.9,175.7,1008269.0,12102.7,244.0,64.3,308.3,,,1245.1,,,,,,,,,,1245.1,20.07,
0487-0-00,111 e brokaw rd,san jose,CA,95112,23711058,1983,non-refrigerated warehouse,26730,26730.0,2024,in compliance,,,70.0,27.7,53.5,30.6,56.6,109327.0,4450.4,26.5,23.6,50.1,,694.1,,,,,,,,,,,694.1,25.97,
0493-0-00,2124 bering dr,san jose,CA,95131,23711072,2011,distribution center,62054,62054.0,2024,in compliance,2024.0,compliant,75.0,18.5,44.0,19.3,44.9,255329.8,3266.4,61.8,17.3,79.1,151.4,,,,,,,,,,,,151.4,2.44,
0494-0-00,2121 zanker rd,san jose,CA,95131,23711074,1977,laboratory,34000,42000.0,2024,in compliance,,,,467.0,1267.6,470.7,1271.6,5085232.0,10368.4,1230.8,55.1,1285.8,,,149.3,,,,,,,,,,149.3,3.82,
0501-0-00,1585 schallenberger rd,san jose,CA,95131,23714085,1980,non-refrigerated warehouse,20536,20536.0,2024,in compliance,,,53.0,46.1,129.0,46.1,129.0,277397.0,,67.1,0.0,67.1,,49.4,,,,,,,,,,,49.4,2.41,
0502-0-00,871 fox ln,san jose,CA,95131,23715188,1990,manufacturing/industrial plant,135634,133288.0,2024,in compliance,,,,110.6,297.2,110.0,293.5,3973890.0,10963.1,961.8,58.2,1020.0,,2386.5,,,,,,,,,,,2386.5,17.9,
0503-0-00,801 fox ln,san jose,CA,95131,23715189,1990,office,90145,87403.0,2024,in compliance,,,1.0,181.4,474.7,183.8,477.2,4159342.0,18753.6,1006.7,99.6,1106.3,,1857.3,,,,,,,,,,,1857.3,21.25,
0504-0-00,988 rock ave,san jose,CA,95131,23715192,2000,manufacturing/industrial plant,71958,71294.0,2024,in compliance,2024.0,exempt,,88.5,229.9,89.5,231.0,1635656.0,7996.2,395.9,42.5,438.3,,225.3,,,,,,,,,,,225.3,3.16,
0506-0-00,1020 rock ave,san jose,CA,95131,23715194,1999,manufacturing/industrial plant,22062,22060.0,2024,in compliance,,,,18.9,41.7,20.1,42.9,80715.8,1674.3,19.5,8.9,28.4,23.0,,1.5,,,,,,,,,,24.5,1.11,
0507-0-00,900 rock ave,san jose,CA,95131,23715195,1989,manufacturing/industrial plant,32514,40000.0,2024,in compliance,,,,84.4,236.3,83.3,233.3,976930.9,,236.4,0.0,236.4,,55.9,,,,,,,,,,202.8,258.7,6.47,
0508-0-00,926 rock ave,san jose,CA,95131,23715196,2001,office,46430,45781.0,2024,in compliance,,,1.0,159.8,436.4,159.6,433.6,2039911.0,3459.0,493.7,18.4,512.1,,1034.4,,,,,,,,,,,1034.4,22.59,
0509-0-00,980 rock ave,san jose,CA,95131,23715197,2001,office,83500,82962.0,2024,in compliance,,,19.0,96.2,263.7,95.5,260.4,2225367.0,3306.3,538.6,17.6,556.2,,1216.1,,,,,,,,,,,1216.1,14.66,
0517-0-00,214-216 devcon dr,san jose,CA,95112,23716063,1980,office,45924,45924.0,2024,in compliance,,,85.0,27.2,61.2,27.0,60.6,248012.0,3922.2,56.2,20.8,77.0,,711.3,,,,,,,,,,,711.3,15.49,
0518-0-00,1602 crane ct,san jose,CA,95112,23716066,1990,hotel,81384,98268.0,2024,in compliance,,,95.0,48.2,92.8,47.9,91.7,682620.6,23732.1,165.2,126.1,291.3,,3590.6,,,,,,,,,,,3590.6,36.54,
0522-0-00,97 e brokaw rd,san jose,CA,95112,23717092,1981,office,55903,59859.0,2024,in compliance,2024.0,compliant,93.0,35.8,74.9,37.3,76.4,373811.5,9548.2,90.5,50.7,141.2,327.6,,,,,,,,,,,,327.6,5.47,
0523-0-00,2081 bering dr,san jose,CA,95131,23717101,1977,office,26994,26994.0,2024,in compliance,2024.0,compliant,99.0,13.3,33.0,14.0,33.9,86900.0,812.2,21.0,4.3,25.3,,367.9,,,,,,,,,,,367.9,13.63,
0524-0-00,2075 bering dr,san jose,CA,95131,23717102,1978,other,40752,40752.0,2024,in compliance,,,,38.3,96.8,39.5,98.0,386280.3,2902.5,93.5,15.4,108.9,,516.8,,,,,,,,,,,516.8,12.68,
0525-0-00,118 charcot ave,san jose,CA,95131,23717123,1979,office,25393,20658.0,2024,in compliance,,,96.0,23.6,45.4,25.5,47.5,71611.3,2827.5,17.3,15.0,32.4,,657.8,,,,,,,,,,,657.8,31.84,
0527-0-00,2290 n 1st st,san jose,CA,95131,23717142,1984,office,76606,74105.0,2024,in compliance,2024.0,compliant,67.0,81.4,167.7,81.3,166.5,1059527.0,27260.4,256.4,144.8,401.2,3942.2,,,,,,,,,,,,3942.2,50.55,
0528-0-00,2010 n 1st st,san jose,CA,95131,23717155,1980,office,82890,85357.0,2024,in compliance,,,85.0,50.4,108.7,50.4,108.7,798202.7,15743.3,193.2,83.6,276.8,1300.9,,,,,,,,,,,,1300.9,15.24,
0529-0-00,2151 bering dr,san jose,CA,95131,23717156,1979,other,21102,21102.0,2024,in compliance,,,,1.3,2.6,1.5,2.8,4440.8,167.6,1.1,0.9,2.0,185.5,,,,,,,,,,,,185.5,8.79,
0531-0-00,55 e brokaw rd,san jose,CA,95112,23717168,2000,hotel,67168,67153.0,2024,in compliance,,,74.0,44.1,89.5,44.1,89.5,485477.0,13052.0,117.5,69.3,186.8,3591.0,,,,,,,,,,,,3591.0,53.47,
0537-0-00,504 dado st,san jose,CA,95131,23718053,1977,manufacturing/industrial plant,121400,45465.0,2024,in compliance,2024.0,exempt,,49.9,101.1,50.9,102.1,370863.4,10479.0,89.8,55.7,145.4,15.5,,,,,,,,,,,,15.5,0.34,
0543-0-00,559 charcot ave,san jose,CA,95131,23718083,1977,non-refrigerated warehouse,53332,54000.0,2024,in compliance,2024.0,not submitted,41.0,40.3,84.9,42.9,87.6,385110.7,10025.2,93.2,53.2,146.5,50.0,0.0,,,,,,,,,,,50.0,0.93,
0544-0-00,555 charcot ave,san jose,CA,95131,23718084,1971,distribution center,89000,89039.0,2024,in compliance,,,89.0,4.4,10.8,4.6,11.0,92188.8,980.8,20.9,5.2,26.1,,819.8,,,,,,,,,,,819.8,9.21,
0547-0-00,2320 kruse dr,san jose,CA,95131,23718088,1980,strip mall,38342,24867.0,2024,in compliance,,,,26.2,64.8,26.9,64.8,152436.8,1478.2,36.9,7.9,44.7,,391.3,,,,,,,,,,,391.3,15.73,
0548-0-00,2460 kruse dr,san jose,CA,95131,23718091,1979,office,29737,29737.0,2024,in compliance,2024.0,not submitted,12.0,47.2,130.5,47.6,130.9,403300.8,379.6,97.6,2.0,99.6,,636.1,,,,,,,,,,,636.1,21.39,
0554-0-00,2149 otoole ave,san jose,CA,95131,23719031,1984,office,122320,122212.0,2024,in compliance,,,,25.2,69.2,25.4,69.4,873754.0,1245.8,197.8,6.6,204.5,1112.2,,,,,,,,,,,,1112.2,9.1,
0561-0-00,602 charcot ave,san jose,CA,95131,23720073,1980,manufacturing/industrial plant,22482,22482.0,2024,in compliance,,,,63.0,167.6,63.9,168.6,382002.3,1339.2,92.5,7.1,99.6,,579.2,,,,,,,,,,,579.2,25.76,
0562-0-00,1960 hartog dr,san jose,CA,95131,23720104,1976,office,40320,40320.0,2024,in compliance,,,26.0,111.8,150.8,115.7,155.0,226206.3,38936.8,54.7,206.8,261.6,,727.5,,,,,,,,,,,727.5,18.04,
0566-0-00,671 e brokaw rd,san jose,CA,95112,23720114,1978,manufacturing/industrial plant,121614,48652.0,2024,in compliance,,,,19.3,44.9,20.4,46.1,201070.9,3056.2,48.7,16.2,64.9,,546.8,,,,,,,,,,,546.8,11.24,
0566-0-01,735 e brokaw rd,san jose,CA,95112,23720114,1978,manufacturing/industrial plant,121614,42646.0,2024,in compliance,,,,21.1,55.9,21.5,56.3,240564.6,959.2,58.2,5.1,63.3,,393.0,,,,,,,,,,,393.0,9.22,
0581-0-00,200 e trimble rd,san jose,CA,95131,23722050,1978,non-refrigerated warehouse,109844,109844.0,2024,in compliance,,,88.0,9.0,22.3,9.2,22.4,233827.3,2137.4,56.6,11.4,67.9,1180.8,,,,,,,,,,,,1180.8,10.75,
0582-0-00,128 component dr,san jose,CA,95131,23722061,1978,non-refrigerated warehouse,127000,127000.0,2024,in compliance,,,,,,2.2,6.1,80342.5,,18.2,,18.4,93.4,,,,,71.5,,,,,,,164.9,1.3,
0584-0-00,2460 n 1st st,san jose,CA,95131,23722066,1984,office,147014,147014.0,2024,in compliance,,,,61.8,119.8,62.7,119.6,1323634.0,47086.7,320.4,250.1,570.5,,3915.3,,,,,,,,,,,3915.3,26.63,
0587-0-00,109 component dr,san jose,CA,95131,23722081,1977,distribution center,158743,85131.0,2024,in compliance,,,5.0,54.6,117.6,55.0,118.1,859656.0,17499.6,194.6,92.9,287.6,,414.4,,,,,,,,,,,414.4,4.87,
0589-0-00,2355 zanker rd,san jose,CA,95131,23722083,1982,office,50020,50020.0,2024,in compliance,2024.0,compliant,87.0,32.5,64.6,34.7,67.0,269748.9,9120.9,65.3,48.4,113.7,550.0,,,,,,,,,,,,550.0,10.42,
0590-0-00,2540 n 1st st,san jose,CA,95131,23722084,1986,office,73305,76367.0,2024,in compliance,,,74.0,41.5,116.1,41.5,116.1,927892.9,,224.6,0.0,224.6,1366.5,,,,,,,,,,,,1366.5,17.89,
0591-0-00,2550 n 1st st,san jose,CA,95131,23722085,1986,office,70981,74683.0,2024,in compliance,,,77.0,42.0,117.7,42.0,117.7,920178.5,,222.7,0.0,222.7,469.6,,,,,,,,,,,,469.6,6.29,
0592-0-00,2570 n 1st st,san jose,CA,95131,23722086,1986,office,70981,74683.0,2024,in compliance,,,86.0,35.6,99.5,35.6,99.5,778147.2,,188.3,0.0,188.3,608.5,,,,,,,,,,,,608.5,8.15,
0593-0-00,2580 n 1st st,san jose,CA,95131,23722087,1986,office,70981,74683.0,2024,in compliance,,,65.0,43.2,121.1,43.2,121.1,946441.0,,229.1,0.0,229.1,1180.4,,,,,,,,,,,,1180.4,15.8,
0594-0-00,2590 n 1st st,san jose,CA,95131,23722088,1986,office,73242,75572.0,2024,in compliance,,,63.0,44.3,124.1,44.3,124.1,981395.8,,237.5,0.0,237.5,464.3,,,,,,,,,,,,464.3,6.14,
0595-0-00,2560 n 1st st,san jose,CA,95131,23722089,1986,office,79508,81868.0,2024,in compliance,,,89.0,41.7,116.7,41.7,116.7,999671.3,,242.0,0.0,242.0,542.5,,,,,,,,,,,,542.5,6.63,
0607-0-00,2350 zanker rd,san jose,CA,95131,23728013,1980,laboratory,50330,52156.0,2024,in compliance,2024.0,exempt,,14.4,35.0,14.4,35.0,173656.0,1562.8,42.0,8.3,50.3,,163.7,,,,,,,,,,,163.7,3.14,
0609-0-00,2510 zanker rd,san jose,CA,95131,23728024,1980,office,173697,36000.0,2024,in compliance,,,,26.0,65.9,26.0,65.9,233146.1,1394.3,56.4,7.4,63.8,,45.2,,,,,,,,,,,45.2,1.26,
0609-0-01,2520 zanker rd,san jose,CA,95131,23728024,1980,mixed use property,173697,121100.0,2024,in compliance,,,75.0,29.9,54.4,33.0,57.3,460346.4,24198.0,111.4,128.5,239.9,,215.9,,,,2816.6,,,,,,,3032.5,25.04,
0609-0-02,2548 zanker rd,san jose,CA,95131,23728024,1980,office,173697,17897.0,2024,in compliance,,,,32.7,85.0,33.5,85.8,151672.7,827.4,36.7,4.4,41.1,,26.4,,,,,,,,,,,26.4,1.47,
0610-0-00,2301 junction ave,san jose,CA,95131,23728031,2001,non-refrigerated warehouse,63014,58365.0,2024,in compliance,,,97.0,11.0,26.0,11.5,26.2,138488.5,1976.6,33.5,10.5,44.0,,290.2,,,,,,,,,,,290.2,4.97,
0614-0-00,2291 junction ave,san jose,CA,95131,23728045,1978,non-refrigerated warehouse,49780,49620.0,2024,in compliance,,,93.0,8.8,24.2,8.8,24.2,124821.9,96.8,30.2,0.5,30.7,,151.5,,,,,,,,,,,151.5,3.05,
0616-0-00,2450 zanker rd,san jose,CA,95131,23728049,1980,mixed use property,69442,43882.0,2024,in compliance,,,,45.3,97.1,48.6,100.6,363887.0,8923.9,88.1,47.4,135.5,,203.5,,,,,,,,,,,203.5,4.64,
0616-0-01,2460 zanker rd,san jose,CA,95131,23728049,1980,office,69442,25560.0,2024,in compliance,,,60.0,53.0,118.6,56.6,122.3,269411.8,5265.5,65.2,28.0,93.2,,37.3,,,,,,,,,,,37.3,1.46,
0617-0-00,400 e trimble rd,san jose,CA,95131,23728054,1977,distribution center,126400,126400.0,2024,in compliance,,,79.0,9.3,24.2,9.5,24.4,305183.6,1564.9,73.9,8.3,82.2,,520.6,,,,,,,,,,,520.6,4.12,
0618-0-00,450 e trimble rd,san jose,CA,95131,23728055,1977,distribution center,105300,105300.0,2024,in compliance,,,73.0,10.6,28.3,10.7,28.5,303414.6,928.6,73.4,4.9,78.4,,1454.7,,,,,,,,,,,1454.7,13.81,
0619-0-00,2302 zanker rd,san jose,CA,95131,23728058,1983,office,43445,43445.0,2024,in compliance,,,76.0,46.1,97.4,48.9,100.3,356802.3,9053.2,86.4,48.1,134.4,,,368.6,,,,,,,,,,368.6,8.48,
0622-0-00,450 charcot ave,san jose,CA,95131,23729016,1978,non-refrigerated warehouse,119905,113000.0,2024,in compliance,,,74.0,6.3,15.4,6.6,15.7,165144.4,1836.4,40.0,9.8,49.7,1784.2,,,,,,,,,,,,1784.2,15.79,
0634-0-00,2185 oakland rd,san jose,CA,95131,23731038,1980,other - services,20601,21000.0,2024,in compliance,,,,55.8,136.2,57.3,136.7,269184.2,2845.0,65.2,15.1,80.3,121.2,,379.3,,,,,,,,,,500.4,23.83,
0635-0-00,2161 oakland road,san jose,CA,95131,23731040,1980,other - services,29416,30048.0,2024,in compliance,2024.0,not submitted,,25.8,72.3,25.8,72.3,227369.7,,55.0,0.0,55.0,31.4,,1205.1,,,,,,,,,,1236.5,41.15,
0653-0-00,910 bern ct,san jose,CA,95112,24115005,1985,office,20542,20542.0,2024,in compliance,,,85.0,30.0,73.4,30.7,73.1,140511.6,1519.2,34.0,8.1,42.1,,205.1,,,,,,,,,,,205.1,9.99,
0662-0-00,1172 murphy ave,san jose,CA,95131,24117009,1988,worship facility,53010,53010.0,2024,in compliance,,,97.0,21.7,43.1,23.6,45.1,180358.1,6370.7,43.7,33.8,77.5,0.0,725.3,,,,,,,,,,,725.3,13.68,
0680-0-00,1774 automation pkwy,san jose,CA,95131,24413018,1998,distribution center,43752,43752.0,2024,in compliance,,,50.0,15.2,39.4,15.4,39.2,168393.4,1007.9,40.8,5.4,46.1,58.9,,,,,,,,,,,,58.9,1.35,
0681-0-00,1704 automation pkwy,san jose,CA,95131,24413019,1997,office,84208,84208.0,2024,in compliance,,,100.0,20.2,34.1,21.8,35.8,182294.2,12135.1,44.1,64.5,108.6,,1421.1,,,,,,,,,,,1421.1,16.88,
0685-0-00,1705 automation pkwy,san jose,CA,95131,24414014,2007,supermarket/grocery store,146843,146843.0,2024,in compliance,,,76.0,144.9,295.0,146.1,296.3,4341489.0,66343.8,856.2,352.4,1208.6,28408.8,,,,,,,,,,,,28408.8,193.46,
0686-0-00,2102 commerce dr,san jose,CA,95131,24415002,1979,office,35807,35807.0,2024,in compliance,,,81.0,26.1,72.8,25.7,71.9,268922.2,39.6,65.1,0.2,65.3,93.5,,,,,373.5,,,,,,,467.0,13.04,
0687-0-00,2150 commerce dr,san jose,CA,95131,24415003,1990,manufacturing/industrial plant,61940,58833.0,2024,in compliance,2024.0,exempt,,158.3,246.6,160.9,249.4,792127.1,67647.0,191.7,359.3,551.0,,1233.5,,,,,,,,,,,1233.5,20.97,
0688-0-00,2380 qume dr,san jose,CA,95131,24415009,1985,office,109500,111512.0,2024,in compliance,,,,0.2,0.7,0.2,0.7,7827.9,,1.8,0.0,1.8,3065.7,,524.2,,,,,,,,,,3589.8,32.19,
0689-0-00,1980 lundy ave,san jose,CA,95131,24415012,1984,manufacturing/industrial plant,25140,25140.0,2024,in compliance,,,,121.5,337.9,119.6,332.3,870227.2,385.8,210.6,2.0,212.7,357.1,,405.4,,,,,,,,,,762.5,30.33,
0690-0-00,2222 qume dr,san jose,CA,95131,24415030,1990,manufacturing/industrial plant,81500,79685.0,2024,in compliance,,,,90.1,157.9,89.2,155.4,823666.0,42955.0,199.4,228.2,427.5,,1977.5,,,,,,,,,,,1977.5,24.82,
0691-0-00,1870 lundy ave,san jose,CA,95131,24415022,2013,medical office,55968,56000.0,2024,in compliance,2024.0,compliant,100.0,30.8,63.0,31.8,62.7,274923.2,8404.2,66.5,44.6,111.2,595.6,,,,,,,,,,,,595.6,10.64,
0693-0-00,2350 qume dr,san jose,CA,95131,24415029,1990,manufacturing/industrial plant,327570,286915.0,2024,in compliance,,,,292.5,407.8,295.7,411.1,4835566.0,683310.0,1879.7,3629.4,5509.1,,11667.4,,,,,,,,,,,11667.4,40.66,
0695-0-00,2195 fortune dr,san jose,CA,95131,24416015,1983,office,34621,34621.0,2024,in compliance,,,96.0,23.2,47.7,24.7,49.1,134452.2,3960.7,32.5,21.0,53.6,112.9,,,,,489.3,,,,,,,602.2,17.39,
0696-0-00,2310 lundy ave,san jose,CA,95131,24416019,1980,manufacturing/industrial plant,30936,30938.0,2024,in compliance,,,,316.6,872.9,317.8,874.1,2800096.0,2778.8,677.7,14.8,692.5,,1968.1,,,,,,,,,,,1968.1,63.61,
0698-0-00,2302 trade zone blvd,san jose,CA,95131,24416023,1984,office,64800,64800.0,2024,in compliance,2024.0,exempt,22.0,98.5,219.7,98.5,219.7,1260840.0,20840.4,305.2,110.7,415.9,,474.7,,,,,,,,,,,474.7,7.33,
0699-0-00,2185 fortune dr,san jose,CA,95131,24416031,1979,office,35045,35577.0,2024,in compliance,2024.0,compliant,100.0,5.3,10.5,5.7,10.8,29118.9,1025.1,7.0,5.4,12.5,208.7,,,,,294.7,,,,,,,503.4,14.15,
0703-0-00,2150 trade zone blvd,san jose,CA,95131,24417011,1984,office,34001,34592.0,2024,in compliance,2024.0,compliant,37.0,74.4,133.0,74.4,133.0,318009.6,14870.9,77.0,79.0,156.0,,,,,,,,,,37.6,,598.7,636.2,18.39,
0704-0-00,1931 fortune dr,san jose,CA,95131,24417013,1970,other,70460,71000.0,2024,in compliance,2024.0,compliant,,142.0,387.3,142.0,385.0,2805266.0,5121.6,679.0,27.2,706.2,481.7,,,,,1705.8,,,,,,,2187.5,30.81,
0706-0-00,2130 trade zone blvd,san jose,CA,95131,24417015,1982,other,21538,21538.0,2024,in compliance,,,,18.1,41.6,18.1,41.6,81499.9,1109.0,19.7,5.9,25.6,159.2,,,,,,,,,,,,159.2,7.39,
0710-0-00,2240 ringwood ave,san jose,CA,95131,24418011,1983,manufacturing/industrial plant,82500,82500.0,2024,in compliance,,,,159.2,438.4,157.0,431.7,3686338.0,3770.5,892.2,20.0,912.2,,36506.1,,,,,,,,,,,36506.1,442.5,
0712-0-00,2180 fortune dr,san jose,CA,95131,24418015,1970,office,51814,56000.0,2024,in compliance,,,4.0,174.8,340.7,175.9,339.0,1447725.0,49101.8,350.4,260.8,611.2,324.0,,,,,139.4,,,,,,,463.3,8.27,
0714-0-00,2210 lundy ave,san jose,CA,95131,24418023,1982,office,35549,35549.0,2024,in compliance,,,68.0,37.9,96.2,39.1,97.4,335845.6,2423.7,81.3,12.9,94.2,485.5,,,,,,,,,,,,485.5,13.66,
0716-0-00,2160 lundy ave,san jose,CA,95131,24418026,1980,other,47679,54524.0,2024,in compliance,,,,69.3,123.7,72.5,127.1,465522.8,23634.5,112.7,125.5,238.2,1.2,,,,,,,,,,,,1.2,0.02,
0719-0-00,2030 fortune dr,san jose,CA,95131,24418037,1983,office,71750,72249.0,2024,in compliance,,,,46.3,119.3,47.4,120.4,855231.1,5035.2,207.0,26.7,233.7,820.8,,,,,637.0,,,,,,,1457.8,20.18,
