X,Y,objectid,y_lat,x_lon,id,portfolio_manager_id,property_name,street_address,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_source_eui_kbtuf,total_ghg_emissions_mtco2e,water_use_all_kgal,water_score,estar_certified,compliance_type,benchmarking_status,data_year,point_x,point_y,philadelphia_building_id
-8364487.9203768,4858740.23084658,184,39.95040647,-75.13946834,96087,4919477,(PA2420) - Pier 3 Condominiums (3 North Columbus Blvd),3 North Columbus Blvd,19106,1,1923,Multifamily Housing,,11056637.2,,,,22,37.4,104.8,41.9,117.4,993.6,,,no,Voluntary Compliance,Voluntarily Complied,2023,2700293.73056422,235610.75475231,884018803
-8364447.47721377,4858900.8489027,185,39.95151255,-75.13910503,95919,4988462,(PA2449) - Pier 5 COA (7 N. Columbus Blvd),7 N. Columbus Blvd,19106,1,1985,Multifamily Housing,,5188004,,,,86,25.3,70.7,29.6,83,466.2,,,no,Voluntary Compliance,Voluntarily Complied,2023,2700383.63392772,236016.51640798,888060400
-8365035.18626819,4859052.48647221,186,39.95255679,-75.14438449,96761,4989997,Berger Building,229 Arch Street,19106,1,1874,Multifamily Housing,,2690849.6,,,,24,37.2,104.2,39.6,110.9,236.2,2122.2,49,no,Voluntary Compliance,Voluntarily Complied,2023,2698892.90167297,236353.03377956,881000437
-8367317.7520032,4859351.01863103,187,,,166232,4830324,Family Court_Arch St,1500 Arch St,19102,,2014,Municipal,549330,30147626.8,19354648.3,,,52,90,190.5,93.3,193.6,3737.2,7488.8,,no,Required Compliance,Complied,2023,2693124.87055814,236932.66352581,782003255
-8365464.26729276,4858570.11449274,188,39.94923498,-75.14823899,96915,16436783,421 Chestnut Street,421 Chestnut Street,19106,1,1857,Multifamily Housing,,2188047.4,1533357.1,,,,68.9,143.3,74.3,148.9,273.5,2543.4,,no,Voluntary Compliance,Voluntarily Complied,2023,2697848.38473314,235111.6222204,888037672
-8366066.52587671,4858280.41977778,189,39.94723996,-75.15364916,97430,4926791,(PA2418) - Ayer Condominium (210 W. Washington Square),210 W. Washington Square,19106,1,1929,Multifamily Housing,,7808020.8,6263730.4,,,1,115.9,234.3,125.6,244.4,1034.4,,,no,Voluntary Compliance,Voluntarily Complied,2023,2696353.55504563,234340.5430539,888059176
-8365885.18403068,4859524.39109946,190,39.95580638,-75.15202012,96330,4803406,(PA2414) - Metroclub Condominiums (201 N 8th St),201 N 8th St,19106,1,2005,Multifamily Housing,,6489497.8,951204.6,,,89,44.4,114.4,46.2,119.3,633.7,,,no,Voluntary Compliance,Voluntarily Complied,2023,2696718.30923739,237473.22806148,888037050
-8371897.53448956,4858115.12412536,191,39.94610172,-75.20602983,165427,3696900,4140 Woodland,4140 Woodland Ave,19104,,1920,College/University,63850,1978558.4,274647,,,,32.2,83.3,33.5,84.6,192.4,318.9,,no,Required Compliance,Complied,2023,2681685.2936998,233498.66448832,773499500
-8371404.65612445,4859426.9452535,192,39.9551355,-75.20160222,165468,3696988,3930 Chestnut St.,3930 Chestnut St,19104,,1966,Office,63654,3316080.2,4928323,,,46,122.9,215.5,123.3,216.8,559.8,358.8,,no,Required Compliance,Complied,2023,2682831.24908505,236823.93703723,773687010
-8369458.42439274,4858946.32610406,193,39.95182584,-75.18411898,178646,3998864,AFSCME DISTRICT COUNCIL 33,"3001 Walnut St, Philadelphia, PA 19104",19104,,1978,Office,184770,4937048,1254906.6,,,,34.4,84.1,36.1,87.3,499.9,1508.8,,no,Required Compliance,Complied,2023,2687765.57812713,235760.71081723,883075500
-8371868.40302539,4859395.61276483,194,39.95491976,-75.20576812,97399,18460038,Walnut Hill Campus Apartments,4111 Walnut St,19104,,1927,Multifamily Housing,65910,1369713.3,4472641.9,,,33,88.6,129.4,99.8,140.6,360.7,1261.9,93,no,Required Compliance,Complied,2023,2681666.10574606,236711.70399398,881121000
-8371159.93587828,4859507.39689999,195,39.95568948,-75.19940387,166315,1489392,St. Leonard's Court,3819 Chestnut Street,19104,,1985,Office,51876,2513066.3,258080.3,,,65,53,139.7,54.6,143.2,239.5,853.8,,no,Required Compliance,Complied,2023,2683441.46407197,237043.45070581,773080200
-8370851.10050902,4859556.65995317,196,39.9560287,-75.19662956,97072,3687885,National Board of Medical Examiners,3750 Market Street,19104,,1980,Office,165000,9880169.3,3615623.8,,,60,81.8,190.7,87,196.1,1059.2,2250.1,,no,Required Compliance,Complied,2023,2684215.32669747,237189.44385214,774688600
-8372503.50861988,4860697.71878389,197,39.96388551,-75.21147333,97413,5092354,Angela Court,4400 Fairmount Avenue,19104,,2004,Multifamily Housing,132267,939528.3,1173744,,,100,16,29.2,17.2,30.6,144.8,5460.8,,no,Required Compliance,Complied,2023,2679973.4526353,239930.39801589,886652600
-8371583.28849206,4859191.04320882,198,39.95351107,-75.2032069,166317,1585726,Hamilton Village,220 S. 40th Street,19104,,1974,Mixed Use Property,110166,8381318.7,65997.9,,,,102.5,285.5,101.7,282.8,756.7,4577.8,,no,Required Compliance,Complied,2023,2682398.63446473,236219.45169765,882937900
-8371601.35611916,4859353.11551706,199,39.95462712,-75.2033692,166314,1799464,4015 Walnut Street,4015 Walnut Street,19104,,1925,Non-Refrigerated Warehouse,72000,1346040.8,1798707.6,,,,49.7,89.4,58.8,98.5,216.5,334.1,,no,Required Compliance,Complied,2023,2682341.42887047,236624.52733105,773579000
-8369958.36890913,4859835.38943267,200,39.95794795,-75.18861004,97203,3762572,"55,55A,55B,55C-Academic/DesignAnnex/MathForum/Police Station",101 North 33rd Street,19104,,1926,College/University,171000,4614528.7,576215.9,,,,,,,,,816.7,,no,Required Compliance,Complied,2023,2686442.31994689,237953.4059069,774551000
-8370453.59396643,4859515.19823793,201,39.95574319,-75.19305871,178729,3667296,Monell Chemical Senses Center,3500 Market Street,19104,,1970,Laboratory,50315,7367773.9,,,7551669,,248.7,495.2,255,500.4,1148,3432.3,,no,Required Compliance,Complied,2023,2685218.9795458,237114.44400214,773702000
-8372492.8591106,4860574.08004457,202,39.96303424,-75.21137766,97027,11696355,4401 Haverford Avenue (St. Ignatius Nursing Home),4401 Haverford Avenue,19104,,1971,Senior Living Community,475995,3547115.2,4631364,,,70,87.1,157.6,100,171.1,557.3,3515.8,,no,Required Compliance,Complied,2023,2680009.17073973,239621.19292565,881445700
-8371005.56193585,4858312.43103417,203,39.94746052,-75.19801712,166210,4830337,Medical Exam Building,321 University Ave,19104,,1970,Municipal,69120,8129905.5,767889.2,,,,104.7,277.3,105.2,274.1,771.4,707,,no,Required Compliance,Complied,2023,2683916.68457823,234058.26376282,783532000
-8371117.81399894,4859381.57406791,204,39.95482307,-75.19902548,158008,3512081,CO/GLC 13090/3810 CHESTNUT ST/PHILADELPHIA/PA,3810 CHESTNUT ST,19104,,1905,Data Center,138262,9634102.7,,1468245.4,,,147.7,378.6,146.7,375.8,954.5,127,,no,Required Compliance,Complied,2023,2683556.61377606,236731.02613381,773620005
-8370568.66389055,4858683.16487227,205,39.95001362,-75.19409241,97746,2848103,HUP West,3400 Spruce St,19104,,1913,Hospital (General Medical & Surgical),1588163,244643982.6,1363630.3,,275032964.8,11,290.8,567.8,300.3,578.1,39805,120444.9,,no,Required Compliance,Complied,2023,2684989.71195972,235019.74740414,773009000
-8370115.11550055,4859337.82466206,206,39.95452179,-75.19001812,98017,21609490,The Study at University City,20 SOUTH 33RD STR,19104,1,2015,Hotel,,5314108.1,7585101.1,,,63,95.5,169.2,98.9,172.8,869.3,8511,,no,Voluntary Compliance,Voluntarily Complied,2023,2686083.92893139,236694.38972415,883704010
-8372024.32987501,4857873.28544408,207,39.94443619,-75.20716885,165424,3696770,Science and Technology Center (STC),4320 Woodland Ave,19104,1,2007,College/University,,7962076,4735.4,,,,102.1,285.9,102.1,285.9,715.8,923.9,,no,Voluntary Compliance,Voluntarily Complied,2023,2681383.53183614,232882.99183515,
-8369718.9898638,4859270.87295603,208,39.95406074,-75.18645967,97407,3862659,"1,2,3,4-Main,Randell,Curtis,Alumni",3101 Chestnut Street,19104,,1891,College/University,279420,25391363.6,1621.2,,13254379.5,,117,263.6,125,272.1,3161.9,14251.5,,no,Required Compliance,Complied,2023,2687085.98926322,236555.4480729,774516000
-8366083.63394326,4858348.84311324,209,39.94771117,-75.15380284,178678,5023248,The St. James,200 W Washington Square,19106,,2003,Multifamily Housing,665742,18883560.5,,,9037.9,31,45.4,127.2,45.4,127.2,1657.9,14802.3,44,no,Required Compliance,Complied,2023,2696305.43834397,234510.85800198,881567905
-8372024.32987501,4857873.28544408,210,39.94443619,-75.20716885,165425,3696855,Athletic Recreation Center (ARC),4310 Woodland Ave,19104,1,2003,College/University,,7958664,130679.3,,,,102.7,284.5,102.7,284.5,722.1,6362.3,,no,Voluntary Compliance,Voluntarily Complied,2023,2681383.53183614,232882.99183515,
-8367565.84445194,4858283.39411605,211,,,178674,4959850,The Touraine Apartments,1520-1528 Spruce Street,19102,,1917,Multifamily Housing,305591,4877798.6,6768599.4,,,53,50.1,89.4,58.1,98.2,787.6,3092.3,92,no,Required Compliance,Complied,2023,2692578.66167681,234237.28276172,881018506
-8367559.19432308,4858468.20581885,212,,,96853,5849202,1525 Locust,1525-29 LOCUST ST,19102,,1983,Office,107996,7717957.6,,,,32,78.9,220.9,82.3,230.5,693.6,1347,,no,Required Compliance,Complied,2023,2692581.84539747,234701.21424855,883045400
-8367373.5948087,4860077.66776479,213,,,96572,7136700,1600 Callowhill,352 N. 16th St.,19102,,2018,Multifamily Housing,123753,3728729.1,1203695.4,,,23,60.4,143.2,63.9,151.5,399,2500.3,72,no,Required Compliance,Complied,2023,2692930.95854439,238750.47780356,881809317
-8367093.84648386,4859865.84955914,214,,,97065,3885150,DUMed-1427 Vine Street Building,1427-33 Vine Street,19102,,1939,College/University,72576,4909328.9,1527489.9,,,,83.8,199.9,91,208.2,512,1844.6,,no,Required Compliance,Complied,2023,2693650.68643564,238240.02410007,772028000
-8367309.40895329,4858597.3548887,215,,,96462,3596562,1429 Walnut,1429-33 Walnut St.,19102,,1916,Office,71000,3526373.7,3225.5,,409545.8,60,50.8,133.9,52.8,139.3,344.3,1102.5,,no,Required Compliance,Complied,2023,2693201.2096443,235043.47439081,883039600
-8367437.81669732,4858615.01672131,216,,,97133,3596612,1500 Walnut,1500-06 Walnut St.,19102,,1930,Office,355036,13775956.8,1399762.4,,7596594,53,82.7,178.5,94.4,193.7,1816.7,6413.3,,no,Required Compliance,Complied,2023,2692876.64467664,235078.29912432,883040500
-8367080.50274653,4860022.14911357,217,,,96145,10471914,322 on North Broad,322-44 N BROAD ST,19102,,,Multifamily Housing,253276,13098712.4,259561.5,,,,37.2,102.8,37.4,103,1190.9,21,100,no,Required Compliance,Complied,2023,2693672.79105023,238632.88945606,881041406
-8367339.90699811,4859358.78885209,218,,,97198,4830369,One Parkway Building,1515-29 Arch St,19102,,1962,Municipal,293854,30813870.9,13405161.9,,,69,88.1,199.9,96.8,209.8,3481.1,5506.6,,no,Required Compliance,Complied,2023,2693068.5288073,236950.51355572,772059100
-8367338.89280295,4859702.60535779,219,,,96246,3895425,Gateway Garage,1529 Spring Street,19102,,1991,Parking,159344,2285784.8,,,,,5.4,15.1,5.4,15.2,205.4,57.4,,no,Required Compliance,Complied,2023,2693045.84151672,237812.65651648,782597700
-8367618.88650965,4858778.96835113,220,,,165395,25724843,Rittenhouse Row Apartments (po085),1601 Sansom St,19102,,1970,Multifamily Housing,90532,4146436.4,741774.8,,,,57.4,145.4,,,412,638,100,no,Required Compliance,Complied,2023,2692408.77356514,235476.0801529,881547025
-8367599.46589622,4859097.05701394,221,,,97134,4484968,1635 Market,1635 Market,19103,,1966,Office,318307,19512590,2761684.5,,,48,77.7,200.8,82.3,211.7,1900.2,5665.4,,no,Required Compliance,Complied,2023,2692434.33256914,236275.1179249,883053000
-8368135.24154653,4858958.62813183,222,,,96093,4449983,William Penn House,1919 Chestnut Street,19103,,1965,Multifamily Housing,655699,16260070.2,,,7754363.1,89,36.1,82.5,39,88.1,1941.9,14028.3,83,no,Required Compliance,Complied,2023,2691095.70926213,235888.59245123,881023000
-8366920.16931822,4858700.87749633,223,39.95013552,-75.16131753,95830,3859412,Bailey,1218 Chestnut St,19102,1,1950,Office,,1345289.5,,,,83,24.1,67.5,24.1,67.5,120.9,147.7,,no,Voluntary Compliance,Voluntarily Complied,2023,2694173.5147863,235331.77761997,883019504
-8368314.12508882,4858987.75362965,224,,,157886,5018571,AQ Rittenhouse - CO (qr04)(qr001),2017-23 Chestnut St.,19103,,2015,Multifamily Housing,115299,3606753.5,3518.2,,,81,37.5,104.8,39,109.2,316.7,2332.9,94,yes,Required Compliance,Complied,2023,2690643.25117755,235948.48012672,881566510
-8367400.52198736,4859921.82136827,225,,,96162,6807848,The Alexander,1601 Vine Street,19103,,2018,Multifamily Housing,596464,13926310,1076055.2,,4449922.6,59,44.9,105.1,46.9,108.6,1604.1,10910,63,no,Required Compliance,Complied,2023,2692874.61712164,238357.75057064,881146359
-8367629.81147574,4859447.07663432,226,39.95527404,-75.16769232,158006,3512076,CO/GLC 11310/1631 ARCH ST/PHILADELPHIA/PA,1631 ARCH ST,19103,,1905,Data Center,147420,40934719.4,,,4664074.8,,283.8,748.3,288.5,751.5,3902.3,4450,,no,Required Compliance,Complied,2023,2692332.2704373,237150.52857564,772614000
-8368131.43557681,4859299.11400324,227,39.95425518,-75.17219848,96357,5026745,Penn Center House,1900 JFK Blvd.,19103,,1959,Multifamily Housing,514689,9104904.9,21025728.4,,,84,50.2,79.2,54.5,84.6,1935,10410.7,89,no,Required Compliance,Complied,2023,2691080.36250806,236742.62584814,881034500
-8368752.48985518,4859094.71278338,228,39.95284765,-75.17777749,178632,3591160,American Red Cross - Humanitarian Services,2221 Chestnut St.,19103,,1972,Office,75495,2518056,119.1,,1851847.9,60,57.9,122.9,63.9,129.8,349.2,510.8,,no,Required Compliance,Complied,2023,2689531.88627431,236184.50196439,883324100
-8368739.14433837,4859761.59953512,229,39.95743983,-75.17765759,95981,4992126,Rivers Edge Condominium Association,2301 Cherry St,19103,1,1982,Multifamily Housing,,5486496,1805555,,,90,30.4,71.9,34,78,577.4,6764.6,62,no,Voluntary Compliance,Voluntarily Complied,2023,2689516.76228881,237857.62329006,888083961
-8368590.81982225,4859721.03804924,230,39.95716053,-75.17632517,95844,5001981,2201 Cherry Street,2201 Cherry St,19103,1,1988,Multifamily Housing,,1518882.5,,,,93,28.9,81,32,89.7,136.5,1226.1,93,yes,Voluntary Compliance,Voluntarily Complied,2023,2689893.09388523,237766.80457406,888084309
-8368026.3165713,4858442.99294451,231,39.9483596,-75.1712542,96011,11665516,250 South 18th Street,250 South 18th Street,19103,1,1900,Multifamily Housing,,2093262,918885.6,,,65,38.6,87.5,39.7,88.7,232.5,572.3,100,no,Voluntary Compliance,Voluntarily Complied,2023,2691407.68698464,234603.61208156,888081542
-8367933.7772853,4858572.84630404,232,39.94925385,-75.1704229,97258,4923240,Parc Rittenhouse Condominium,225 S 18th Street,19103,1,1928,Multifamily Housing,,22435749.3,17364633,,,1,92.6,188.5,96.5,193.3,2938.5,11675.2,28,no,Voluntary Compliance,Voluntarily Complied,2023,2691631.14618339,234936.03989439,888093017
-8368652.73776775,4859521.81122252,233,39.95578868,-75.1768814,96124,4993952,2200 Arch Street,2200 Arch St,19103,1,1996,Multifamily Housing,,10164829.1,1814686,,,62,36.9,93.4,38.4,95.1,988.5,6152.7,97,no,Voluntary Compliance,Voluntarily Complied,2023,2689751.79036206,237262.73274756,888111280
-8368156.71795755,4858464.53556494,234,39.94850796,-75.17242561,96336,11665448,1830 Rittenhouse Square,1830 Rittenhouse Square,19103,1,1900,Multifamily Housing,,3086082.3,2350987.8,,,50,47.7,97.5,53.3,111.5,395.7,243.1,100,no,Voluntary Compliance,Voluntarily Complied,2023,2691077.8162533,234648.04604781,888081773
-8368000.90459313,4858780.386687,235,39.95068308,-75.17102591,96678,4961098,10 Rittenhouse Square,130 S 18th St.,19103,1,2009,Multifamily Housing,,15953659,3363680.4,,7983664.3,15,61.9,131.2,65.1,134.9,2142.4,12334,57,no,Voluntary Compliance,Voluntarily Complied,2023,2691446.94904523,235451.52475581,888095900
-8367985.37351425,4858976.69923809,236,39.95203496,-75.17088639,96355,4978652,(PA2450) - Belgravia (1811 Chestnut Street),1811 Chestnut Street,19103,1,1903,Multifamily Housing,,2448185.1,523875.6,,,66,44,109.7,47.2,113,247.8,,,no,Voluntary Compliance,Voluntarily Complied,2023,2691471.6678278,235944.92435956,888088272
-8368203.19394295,4858472.89081822,237,39.9485655,-75.17284311,95866,11665512,1900 Rittenhouse Square,1900 Rittenhouse Square,19103,1,1900,Multifamily Housing,,2316362.4,1909180.8,,,91,30.2,60.6,32.9,66,304.7,336.6,100,no,Voluntary Compliance,Voluntarily Complied,2023,2690960.19870639,234665.58210197,888081620
-8367848.51472063,4858445.36863014,238,39.94837596,-75.16965698,96061,11665452,250 South 17th Street,250 South 17th Street,19103,1,1900,Multifamily Housing,,1546755.1,542446.2,,,75,37.3,87.5,40.2,95.7,164.6,37.4,100,no,Voluntary Compliance,Voluntarily Complied,2023,2691855.13982989,234622.64813273,888086855
-8368123.43937662,4858459.04720605,239,39.94847016,-75.17212666,96865,11665449,1820 Rittenhouse Square,1820 Rittenhouse Square,19103,1,1900,Multifamily Housing,,4091151.8,4201140.7,,,3,78.5,150.3,84.1,156.1,582.2,504.9,100,no,Voluntary Compliance,Voluntarily Complied,2023,2691161.99882773,234636.72946939,888081524
-8366210.67847795,4858713.35517395,240,39.95022143,-75.15494409,97960,3122487,833 Chestnut,833 Chestnut Street,19107,,1928,Medical Office,693000,58378944.7,1417632,,,77,86.2,237.8,87.2,238.8,5198.8,8091.8,,no,Required Compliance,Complied,2023,2695958.72742322,235415.50251815,883313600
-8368453.86894163,4858728.00068479,241,39.95032234,-75.17509495,96634,5025694,Wanamaker House,2020 Walnut Street,19103,1,1983,Multifamily Housing,,11088580.3,4363455.5,,,45,55.4,127.7,59,133.8,1228.2,10730.6,68,no,Voluntary Compliance,Voluntarily Complied,2023,2690310.45295864,235286.87974389,888090644
-8358107.80549421,4864169.1579178,242,39.98778219,-75.08215485,97830,,,3899 RICHMOND ST,19137,,,Municipal,160000,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2715944.0007728,249700.10190165,786456805
-8368249.80045759,4858605.41029909,243,39.94947811,-75.17326178,166270,5037034,Council for Two Twenty West Rittenhouse Square,220 W Rittenhouse Square,19103,1,1957,Multifamily Housing,,5437806.8,8537977.4,,,3,98.5,170.5,110.1,182,942.2,3444.1,76,no,Voluntary Compliance,Voluntarily Complied,2023,2690833.16549589,234994.46399014,888082686
-8368528.55363507,4859062.52816298,244,39.95262602,-75.17576584,97890,4803452,(PA2326) - Riverwest Condominium (2101 Chestnut Street),2101 Chestnut Street,19103,1,1957,Multifamily Housing,,8607391,15226250.6,,,47,70.7,118.9,80.9,131.4,1582.2,,,no,Voluntary Compliance,Voluntarily Complied,2023,2690097.97634947,236120.23076747,883429700
-8367959.65868724,4858472.20469525,245,39.94856077,-75.1706554,97105,4735240,Barclay,237 S 18th St.,19103,1,1929,Multifamily Housing,,13174052.7,15249656.6,,,2,100.4,186.9,109.7,196.7,1993.8,4462.9,98,no,Voluntary Compliance,Voluntarily Complied,2023,2691573.36217822,234681.7664528,888070010
-8369141.23672058,4858661.224269,246,39.9498625,-75.18126965,96841,16406384,(PA2632) - One Riverside Condo (210 S 25th St),210 S 25th St,19103,1,2016,Multifamily Housing,,6603202.7,1435168.8,,,11,61.3,152.5,67.2,167.6,669.6,,,no,Voluntary Compliance,Voluntarily Complied,2023,2688584.88029431,235069.02453657,888089772
-8367741.0845087,4858566.78702141,247,39.94921212,-75.16869192,166307,13040645,Hyatt Centric Philadelphia,1620 Chancellor ST,19103,1,2020,Hotel,,7960991,3146890.8,,,94,47.3,109,48.6,110.3,882.5,4230.9,,no,Voluntary Compliance,Voluntarily Complied,2023,2692116.69967422,234935.02447648,883703805
-8372627.3954706,4861994.9133223,248,39.97281627,-75.2125862,97150,4096892,CSE Centennial Village,4400 West Girard Ave,19104,,1978,Senior Living Community,280252,4644373.5,2217067.7,,,42,90.3,201.8,94.4,211.3,535.1,7061.1,,no,Required Compliance,Complied,2023,2679568.16374773,243173.41154298,881437000
-8372497.90331815,4858479.94983971,249,39.94861421,-75.21142301,96562,3788376,HMS SCHOOL,4400 Baltimore ave,19104,,1885,Other - Education,95895,4863324.9,3458232,,,,104,215.6,110.4,222.3,620.7,2019.9,,no,Required Compliance,Complied,2023,2680147.45359963,234370.0292154,773594600
-8370461.97136784,4860072.28805371,250,39.95957917,-75.19313396,165462,21374913,Yugo Philadelphia Carriage House,3500 Powelton Ave,19104,,1905,Multifamily Housing,133000,3815898.9,,,,99,23.2,64.8,24.1,67.5,334.9,10384.1,24,no,Required Compliance,Complied,2023,2685157.43865839,238510.62821764,881111100
-8370414.68591434,4859615.29027286,251,39.95643241,-75.19270919,97153,3762580,71-URBN Center,3501 Market Street,19104,,2008,College/University,132496,11433049,1019474.4,,,,84.8,225.2,85.5,224.5,1081.6,743.4,,no,Required Compliance,Complied,2023,2685309.65357706,237368.24795647,774688700
-8370588.30212276,4859918.14800774,252,39.95851782,-75.1942688,95813,9867017,Paloma University City (ln060),3600 Lancaster Ave,19104,,2019,Multifamily Housing,142199,4425971.3,,,,93,30.2,84.6,32.3,90.5,388.4,20119.9,,no,Required Compliance,Complied,2023,2684850.63087305,238114.95217173,881111200
-8370313.04857456,4859595.78319967,253,39.95629808,-75.19179617,97187,3325211,3401 Market St.,3401 Market St.,19104,,1930,Laboratory,95520,5214075.1,416493.6,,1859225.2,31,80,184.5,83.5,189.9,603.2,1098.4,,no,Required Compliance,Complied,2023,2685566.92045097,237326.74902372,883072000
-8370546.2388947,4859525.59390779,254,39.95581478,-75.19389095,158026,5237937,3550 Market,3550 Market Street,19104,,1989,Medical Office,87860,5002254.7,1797579,,,34,89.4,209,89.6,209.4,545,13,,no,Required Compliance,Complied,2023,2684985.00921322,237133.75662756,883209520
-8370686.7073278,4859654.00702595,255,39.95669902,-75.19515279,166310,11666964,3675 Market Street,3675 Market Street,19104,,2018,Office,295293,30513451.2,27169340.1,,,9,165.1,326.1,166.6,327.7,4121.1,7930.8,,no,Required Compliance,Complied,2023,2684622.08999155,237445.4994424,883076710
-8372621.85155542,4861938.81018796,256,39.97243004,-75.2125364,166248,35021235,Stephen Smith Towers,1030 Belmont Avenue,19104,,1967,Multifamily Housing,831259,2607984.7,3464124.4,,,,7.3,13.2,7.8,13.6,418.4,5899.7,,no,Required Compliance,Complied,2023,2679586.15813431,243033.17461872,881446550
-8371836.99977982,4859919.57483908,257,39.95852767,-75.20548601,166323,3522077,30 N 41st Street Philadelphia PA (2.0 University Place),30 N 41st Street,19104,,2013,Office,98000,2939999.3,521348.5,,,90,32.9,83.5,34.1,84.7,285.7,645,,no,Required Compliance,Complied,2023,2681707.29496814,238027.73909156,883073700
-8369292.80821404,4859249.10920202,258,39.95391087,-75.18263123,96610,3061663,Cira Square,2970 Market Street,19104,,1934,Office,1076400,70882798.7,8977635.3,,,74,85.7,223,89.2,226.7,6697.8,7991.6,,yes,Required Compliance,Complied,2023,2688160.42937155,236532.05212231,883063100
-8370268.20195541,4858526.25895954,259,39.94893307,-75.19139332,165426,26661143,HUP PAVILION,1 Convention Ave,19104,,2021,Hospital (General Medical & Surgical),216875,158939319.4,115111400.7,,40631611,57,206.6,403.6,213.2,411,22761,46613,,no,Required Compliance,Complied,2023,2685757.53293064,234648.19926272,773512000
-8370394.16022488,4859497.81250665,260,39.95562347,-75.19252481,96939,3321455,3440 Market St,3440 Market St,19104,,1981,Office,130002,6886193.9,953262.7,,,61,66.5,172.1,66.5,172.1,2110.3,4727.2,,no,Required Compliance,Complied,2023,2685369.8552283,237075.18489431,883076510
-8369887.11938715,4859997.66543522,261,39.95906533,-75.18796999,96029,6442628,Vue32 (bz001),3201 Race Street,19104,,2017,Multifamily Housing,158057,6035329.8,599462,,,74,37.7,99.6,43.4,114.8,561.5,3929.7,88,no,Required Compliance,Complied,2023,2686609.86357506,238365.47988589,881108060
-8370894.34318835,4859691.2291409,262,39.95695533,-75.19701801,97789,,,3711 MARKET ST,19104,,,,122390,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2684096.71505806,237523.70827548,883073660
-8370520.72375751,4859630.41492927,263,39.95653656,-75.19366174,95913,13797616,3535 Market Street,3535 Market St,19104,,2019,Medical Office,473400,18110725.4,1659500.5,,2458415.9,93,44.9,112,46.9,114.3,1840.8,2089.3,,yes,Required Compliance,Complied,2023,2685041.62852256,237398.4404814,883073000
-8358692.51452433,4872209.30656676,264,40.04309775,-75.08740739,158044,3800033,23216-Philadelphia / Oxford AVE,6225 Oxford Ave,19111,,2000,Self-Storage Facility,59950,279200.5,,,,,2.7,7.6,2.9,8,24.5,266,,no,Required Compliance,Complied,2023,2713865.40945755,269797.08861047,884220900
-8358984.68587199,4873028.32188688,265,40.04873,-75.09003201,178672,35168683,6401 Martins Mill Road,6401 Martins Mill Road,19111,,1890,Senior Living Community,526165,18268404.2,2327013.2,,,91,39.1,101.9,39.6,102.3,1726.9,3366.2,,no,Required Compliance,Complied,2023,2713069.10626014,271825.75318831,881449400
-8357302.07257616,4873932.92261888,266,40.05495021,-75.07491689,97145,15096340,Sloane Toyota,1546 Cottman Ave,19111,,1989,Vehicle Dealership,57330,2255031.7,2687669.6,,,3,96.9,179.1,108.7,191.5,340.7,743.6,,no,Required Compliance,Complied,2023,2717230.17864664,274218.45673622,882172500
-8358805.8840048,4874870.26510497,267,40.06139505,-75.08842583,96012,4974523,Regency Park Apartments,800 COTTMAN AVE,19111,,1975,Multifamily Housing,298995,7935742.2,3574159.3,,,59,38.5,86.9,41.5,94.3,903,13553.1,35,no,Required Compliance,Complied,2023,2713379.54559989,276450.88698265,881130500
-8366214.48435653,4859027.53444918,268,,,98197,3891105,Market Street East,901-13 Filbert Street,19107,,1977,Parking,257040,1557000.7,,,,,5.8,16.3,5.8,16.3,139.9,1438.4,,no,Required Compliance,Complied,2023,2695925.98995589,236203.02784598,781092200
-8359346.48575675,4875683.68682245,269,40.06698734,-75.09328213,97993,3879811,Fox Chase Cancer Center,333 Cottman Ave,19111,,1947,Mixed Use Property,107391,88692722.2,54012776.6,,188873747.1,,544.5,874.1,548.6,875.2,23380,30317.8,,no,Required Compliance,Complied,2023,2711959.57140572,278446.2205904,778022500
-8358619.50618749,4872705.8705445,270,40.04616742,-75.08649672,,6864353,Oxford House,6451 Oxford Avenue,19111,,1960,Multifamily Housing,171000,3807065.2,3255937.4,,,82,41.3,82.3,43.8,84.6,507.1,6935.5,,no,Required Compliance,Complied,2023,2714011.4416458,271046.03460339,881163000
-8358406.74298866,4874863.37982016,271,40.0613477,-75.08484029,158014,3512109,CO/GLC 17120/7254 RISING SUN AVE/PHILADELPHIA/PA,7254 RISING SUN AVE,19111,1,1905,Data Center,,9149557.8,,,,,188.7,485.5,187.5,482,903.1,66,,no,Voluntary Compliance,Voluntarily Complied,2023,2714383.2283038,276463.91353139,778655005
-8359022.99364252,4871940.75836398,272,40.04125089,-75.09037612,95691,3663692,0981-Philadelphia - Oxford Ave.,6204 Oxford Ave,19111,,2009,Self-Storage Facility,52000,470924.2,,,,,7.5,21,8.8,24.7,41.3,173,,no,Required Compliance,Complied,2023,2713054.84939888,269099.56703964,884220920
